pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	29	23	9	14	2	0	0	0	0	0	0	0	0
car interaction---education	11	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---home	18	0	1	0	0	0	0	0	0	0	0	0	3
car interaction---leisure	10	0	0	1	0	0	2	0	0	0	0	0	1
car interaction---shop	10	0	0	0	0	0	1	0	0	0	0	0	3
car interaction---work	14	0	0	0	0	0	1	0	0	0	0	0	1
education---car interaction	9	0	0	0	0	0	0	0	0	0	0	0	0
education---home	2	0	0	1	0	0	1	0	0	0	0	0	1
education---motorcycle interaction	7	0	0	0	0	0	0	0	0	0	0	0	0
education---pt interaction	19	1	1	0	0	0	0	0	0	0	0	0	0
education---shop	0	0	0	0	0	0	1	0	0	0	0	0	0
education---work	1	0	0	0	0	1	0	0	1	1	0	0	2
home---car interaction	23	0	1	0	0	0	0	0	0	0	0	0	4
home---education	0	1	1	1	0	0	0	0	0	0	0	0	2
home---leisure	2	0	0	0	0	1	1	0	1	0	1	1	3
home---motorcycle interaction	12	0	1	0	0	2	3	0	0	0	0	0	0
home---pt interaction	43	4	3	0	0	0	0	0	0	0	0	0	0
home---shop	1	0	1	0	1	0	0	0	0	0	0	0	2
home---work	0	0	0	1	0	0	0	0	0	0	0	0	3
leisure---car interaction	10	0	0	1	0	0	2	0	0	0	0	0	2
leisure---education	0	0	0	0	0	0	0	0	0	0	0	0	2
leisure---home	0	0	0	1	0	0	0	0	1	0	2	0	0
leisure---motorcycle interaction	10	0	0	2	0	0	0	0	0	0	0	0	1
leisure---pt interaction	21	9	3	0	0	0	0	0	0	0	0	0	0
leisure---shop	2	0	0	0	1	0	0	1	0	1	0	0	0
leisure---work	0	0	0	2	0	0	0	0	0	0	1	0	1
motorcycle interaction---education	8	0	0	0	0	0	0	0	0	0	0	0	0
motorcycle interaction---home	9	0	1	0	0	2	3	0	0	0	0	0	0
motorcycle interaction---leisure	10	0	0	2	0	0	0	0	0	0	0	0	1
motorcycle interaction---motorcycle interaction	19	21	9	3	1	0	0	0	0	0	0	0	0
motorcycle interaction---shop	5	0	0	0	0	0	1	0	0	0	0	0	0
motorcycle interaction---work	9	2	0	0	0	0	0	0	0	0	0	0	0
pt interaction---education	18	1	1	0	0	0	0	0	0	0	0	0	0
pt interaction---home	44	7	3	0	0	0	0	0	0	0	0	0	0
pt interaction---leisure	21	7	2	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	33	52	104	20	20	14	8	6	2	1	2	0	0
pt interaction---shop	22	6	2	0	0	0	0	0	0	0	0	0	0
pt interaction---work	29	5	2	2	0	0	0	0	0	0	0	0	0
shop---car interaction	9	0	0	0	0	0	1	0	0	0	0	0	2
shop---education	1	0	0	0	0	0	0	0	0	0	0	0	1
shop---home	1	0	0	0	1	1	0	0	0	0	0	0	2
shop---leisure	1	0	0	1	0	0	0	2	0	0	1	0	0
shop---motorcycle interaction	6	0	0	0	0	0	1	0	0	0	0	0	0
shop---pt interaction	24	6	4	0	0	0	0	0	0	0	0	0	0
shop---work	0	0	0	0	0	0	0	0	0	0	0	0	1
work---car interaction	15	0	0	0	0	0	1	0	0	0	0	0	1
work---education	0	0	0	0	0	0	0	0	0	0	0	1	0
work---home	0	1	0	0	0	1	1	1	0	1	0	0	3
work---leisure	0	0	0	0	1	0	1	0	0	0	0	0	2
work---motorcycle interaction	9	2	0	0	0	0	0	0	0	0	0	0	0
work---pt interaction	29	5	0	0	0	0	0	0	0	0	0	0	0
work---shop	1	1	0	1	0	1	0	0	0	0	0	0	1

average leg duration: 722.4608294930875 seconds = 00:12:02
