parent stop id;nr of child stop facilities
gtfs_tw_v5_CHA297453;1
gtfs_tw_v5_CHA297454;1
gtfs_tw_v5_CHA297492;1
gtfs_tw_v5_CHA297493;1
gtfs_tw_v5_CHA297494;1
gtfs_tw_v5_CHA297495;1
gtfs_tw_v5_CHA297496;1
gtfs_tw_v5_CHA297504;1
gtfs_tw_v5_CHA297522;1
gtfs_tw_v5_CHA297523;1
gtfs_tw_v5_CHA297524;1
gtfs_tw_v5_CHA297525;1
gtfs_tw_v5_CHA297526;1
gtfs_tw_v5_CHA297527;1
gtfs_tw_v5_CHA297528;1
gtfs_tw_v5_CHA297529;1
gtfs_tw_v5_CHA297530;1
gtfs_tw_v5_CHA297531;1
gtfs_tw_v5_CHA297532;1
gtfs_tw_v5_CHA299327;1
gtfs_tw_v5_CHA299328;1
gtfs_tw_v5_CHA299329;1
gtfs_tw_v5_CHA299330;1
gtfs_tw_v5_CHA299331;1
gtfs_tw_v5_CHA299332;1
gtfs_tw_v5_CHA299333;1
gtfs_tw_v5_CHA299334;1
gtfs_tw_v5_CHA299335;1
gtfs_tw_v5_CHA299336;1
gtfs_tw_v5_CHA299337;1
gtfs_tw_v5_CHA299338;1
gtfs_tw_v5_CHA299339;1
gtfs_tw_v5_CHA299340;1
gtfs_tw_v5_CHA299342;1
gtfs_tw_v5_CHA299343;1
gtfs_tw_v5_CHA299344;1
gtfs_tw_v5_CHA299345;1
gtfs_tw_v5_CHA299346;1
gtfs_tw_v5_CHA299347;1
gtfs_tw_v5_CHA299348;1
gtfs_tw_v5_CHA299349;1
gtfs_tw_v5_CHA299350;1
gtfs_tw_v5_CHA299351;1
gtfs_tw_v5_CHA299352;1
gtfs_tw_v5_CHA299353;1
gtfs_tw_v5_CHA299354;1
gtfs_tw_v5_CHA299355;1
gtfs_tw_v5_CHA299356;1
gtfs_tw_v5_CHA299357;1
gtfs_tw_v5_CHA299358;1
gtfs_tw_v5_CHA299359;1
gtfs_tw_v5_CHA299360;1
gtfs_tw_v5_CHA299361;1
gtfs_tw_v5_CHA299362;1
gtfs_tw_v5_CHA299363;1
gtfs_tw_v5_CHA299364;1
gtfs_tw_v5_CHA299365;1
gtfs_tw_v5_CHA299367;1
gtfs_tw_v5_CHA299368;1
gtfs_tw_v5_CHA299369;1
gtfs_tw_v5_CHA299370;1
gtfs_tw_v5_CHA299371;1
gtfs_tw_v5_CHA299372;1
gtfs_tw_v5_CHA299373;1
gtfs_tw_v5_CHA299374;1
gtfs_tw_v5_CHA299375;1
gtfs_tw_v5_CHA299376;1
gtfs_tw_v5_CHA299377;1
gtfs_tw_v5_CHA299378;1
gtfs_tw_v5_CHA299379;1
gtfs_tw_v5_CHA299380;1
gtfs_tw_v5_CHA299381;1
gtfs_tw_v5_CHA299382;1
gtfs_tw_v5_CHA299383;1
gtfs_tw_v5_CHA299384;1
gtfs_tw_v5_CHA299385;1
gtfs_tw_v5_CHA300351;1
gtfs_tw_v5_CHA300352;1
gtfs_tw_v5_CHA300353;1
gtfs_tw_v5_CHA300354;1
gtfs_tw_v5_CHA300907;1
gtfs_tw_v5_CHA301653;1
gtfs_tw_v5_CHA301654;1
gtfs_tw_v5_CHA301655;1
gtfs_tw_v5_CHA301656;1
gtfs_tw_v5_CHA301657;1
gtfs_tw_v5_CHA301658;1
gtfs_tw_v5_CHA301957;1
gtfs_tw_v5_CHA301958;1
gtfs_tw_v5_CHA301990;1
gtfs_tw_v5_CHA301991;1
gtfs_tw_v5_CHA301992;1
gtfs_tw_v5_CHA301993;1
gtfs_tw_v5_CHA301994;1
gtfs_tw_v5_CHA301995;1
gtfs_tw_v5_CHA301996;1
gtfs_tw_v5_CHA301997;1
gtfs_tw_v5_CHA301998;1
gtfs_tw_v5_CHA301999;1
gtfs_tw_v5_CHA302000;1
gtfs_tw_v5_CHA302001;1
gtfs_tw_v5_CHA302002;1
gtfs_tw_v5_CHA302003;1
gtfs_tw_v5_CHA302004;1
gtfs_tw_v5_CHA302005;1
gtfs_tw_v5_CHA302006;1
gtfs_tw_v5_CHA302007;1
gtfs_tw_v5_CHA302008;1
gtfs_tw_v5_CHA302009;1
gtfs_tw_v5_CHA302010;1
gtfs_tw_v5_CHA302011;1
gtfs_tw_v5_CHA302098;1
gtfs_tw_v5_CHA302100;1
gtfs_tw_v5_CHA302101;1
gtfs_tw_v5_CHA302102;1
gtfs_tw_v5_CHA302196;1
gtfs_tw_v5_CHA302223;1
gtfs_tw_v5_CHA302513;1
gtfs_tw_v5_CHA302516;1
gtfs_tw_v5_CHA302620;1
gtfs_tw_v5_CHA302621;1
gtfs_tw_v5_CHA302638;1
gtfs_tw_v5_CHA302839;1
gtfs_tw_v5_CHA302840;1
gtfs_tw_v5_CHA303145;1
gtfs_tw_v5_CHA303148;1
gtfs_tw_v5_CHA303149;1
gtfs_tw_v5_CHA303434;1
gtfs_tw_v5_CHA303437;1
gtfs_tw_v5_CHA303492;1
gtfs_tw_v5_CHA303493;1
gtfs_tw_v5_CHA303494;1
gtfs_tw_v5_CHA303495;1
gtfs_tw_v5_CHA303636;1
gtfs_tw_v5_CHA303651;1
gtfs_tw_v5_CHA304143;1
gtfs_tw_v5_CHA304144;1
gtfs_tw_v5_CHA304149;1
gtfs_tw_v5_CHA304189;1
gtfs_tw_v5_CHA304190;1
gtfs_tw_v5_CHA304191;1
gtfs_tw_v5_CHA304192;1
gtfs_tw_v5_CHA304193;1
gtfs_tw_v5_CHA304194;1
gtfs_tw_v5_CHA304195;1
gtfs_tw_v5_CHA304196;1
gtfs_tw_v5_CHA304197;1
gtfs_tw_v5_CHA304198;1
gtfs_tw_v5_CHA304199;1
gtfs_tw_v5_CHA304200;1
gtfs_tw_v5_CHA304201;1
gtfs_tw_v5_CHA304202;1
gtfs_tw_v5_CHA304203;1
gtfs_tw_v5_CHA304204;1
gtfs_tw_v5_CHA304205;1
gtfs_tw_v5_CHA304206;1
gtfs_tw_v5_CHA304207;1
gtfs_tw_v5_CHA304208;1
gtfs_tw_v5_CHA304209;1
gtfs_tw_v5_CHA304210;1
gtfs_tw_v5_CHA304211;1
gtfs_tw_v5_CHA304212;1
gtfs_tw_v5_CHA304213;1
gtfs_tw_v5_CHA305084;1
gtfs_tw_v5_CHA305085;1
gtfs_tw_v5_CHA305086;1
gtfs_tw_v5_CHA305090;1
gtfs_tw_v5_CHA305092;1
gtfs_tw_v5_CHA305093;1
gtfs_tw_v5_CHA305094;1
gtfs_tw_v5_CHA305095;1
gtfs_tw_v5_CHA305096;1
gtfs_tw_v5_CHA305742;1
gtfs_tw_v5_CHA305743;1
gtfs_tw_v5_CHA305744;1
gtfs_tw_v5_CHA305745;1
gtfs_tw_v5_CHA305746;1
gtfs_tw_v5_CHA305747;1
gtfs_tw_v5_CHA305748;1
gtfs_tw_v5_CHA305749;1
gtfs_tw_v5_CHA305848;1
gtfs_tw_v5_CHA305849;1
gtfs_tw_v5_CHA305850;1
gtfs_tw_v5_CHA305851;1
gtfs_tw_v5_CHA305852;1
gtfs_tw_v5_CHA305853;1
gtfs_tw_v5_CHA305854;1
gtfs_tw_v5_CHA305855;1
gtfs_tw_v5_CHA305856;1
gtfs_tw_v5_CHA305857;1
gtfs_tw_v5_CHA305859;1
gtfs_tw_v5_CHA305860;1
gtfs_tw_v5_CHA305861;1
gtfs_tw_v5_CHA305863;1
gtfs_tw_v5_CHA306703;1
gtfs_tw_v5_CHA306706;1
gtfs_tw_v5_CHA307066;1
gtfs_tw_v5_CHA307352;1
gtfs_tw_v5_CHA307353;1
gtfs_tw_v5_CHA307354;1
gtfs_tw_v5_CHA307355;1
gtfs_tw_v5_CHA307356;1
gtfs_tw_v5_CHA307357;1
gtfs_tw_v5_CHA307358;1
gtfs_tw_v5_CHA307359;1
gtfs_tw_v5_CHA307360;1
gtfs_tw_v5_CHA307361;1
gtfs_tw_v5_CHA307362;1
gtfs_tw_v5_CHA307363;1
gtfs_tw_v5_CHA307364;1
gtfs_tw_v5_CHA307365;1
gtfs_tw_v5_CHA307366;1
gtfs_tw_v5_CHA307367;1
gtfs_tw_v5_CHA307368;1
gtfs_tw_v5_CHA307370;1
gtfs_tw_v5_CHA307372;1
gtfs_tw_v5_CHA307373;1
gtfs_tw_v5_CHA307374;1
gtfs_tw_v5_CHA307375;1
gtfs_tw_v5_CHA307376;1
gtfs_tw_v5_CHA307377;1
gtfs_tw_v5_CHA307378;1
gtfs_tw_v5_CHA307381;1
gtfs_tw_v5_CHA307382;1
gtfs_tw_v5_CHA307383;1
gtfs_tw_v5_CHA307384;1
gtfs_tw_v5_CHA307385;1
gtfs_tw_v5_CHA307386;1
gtfs_tw_v5_CHA307387;1
gtfs_tw_v5_CHA307388;1
gtfs_tw_v5_CHA307389;1
gtfs_tw_v5_CHA307390;1
gtfs_tw_v5_CHA307391;1
gtfs_tw_v5_CHA307392;1
gtfs_tw_v5_CHA307393;1
gtfs_tw_v5_CHA307394;1
gtfs_tw_v5_CHA307395;1
gtfs_tw_v5_CHA307396;1
gtfs_tw_v5_CHA307397;1
gtfs_tw_v5_CHA307398;1
gtfs_tw_v5_CHA307399;1
gtfs_tw_v5_CHA307400;1
gtfs_tw_v5_CHA307401;1
gtfs_tw_v5_CHA307402;1
gtfs_tw_v5_CHA307403;1
gtfs_tw_v5_CHA307404;1
gtfs_tw_v5_CHA307405;1
gtfs_tw_v5_CHA307406;1
gtfs_tw_v5_CHA307407;1
gtfs_tw_v5_CHA307408;1
gtfs_tw_v5_CHA307409;1
gtfs_tw_v5_CHA307410;1
gtfs_tw_v5_CHA307411;1
gtfs_tw_v5_CHA307412;1
gtfs_tw_v5_CHA307443;1
gtfs_tw_v5_CHA307444;1
gtfs_tw_v5_CHA307445;1
gtfs_tw_v5_CHA307446;1
gtfs_tw_v5_CHA307447;1
gtfs_tw_v5_CHA307448;1
gtfs_tw_v5_CHA307449;1
gtfs_tw_v5_CHA307450;1
gtfs_tw_v5_CHA307451;1
gtfs_tw_v5_CHA307452;1
gtfs_tw_v5_CHA307453;1
gtfs_tw_v5_CHA307454;1
gtfs_tw_v5_CHA307456;1
gtfs_tw_v5_CHA307457;1
gtfs_tw_v5_CHA307460;1
gtfs_tw_v5_CHA307461;1
