Iteration	car	pt	walk
0	0.0	0.0	0.0
1	0.0	0.0	0.0
2	0.0	0.0	0.0
3	0.0	0.0	0.0
4	0.16176470588235295	0.25588235294117645	0.08823529411764706
5	0.22058823529411764	0.37941176470588234	0.1
6	0.25882352941176473	0.47058823529411764	0.11764705882352941
7	0.25882352941176473	0.5088235294117647	0.12352941176470589
8	0.27941176470588236	0.5147058823529411	0.14705882352941177
9	0.3029411764705882	0.5441176470588235	0.19705882352941176
10	0.3088235294117647	0.5441176470588235	0.19705882352941176
11	0.3088235294117647	0.5588235294117647	0.2088235294117647
12	0.34411764705882353	0.5882352941176471	0.2088235294117647
13	0.3764705882352941	0.6264705882352941	0.22941176470588234
14	0.38529411764705884	0.6352941176470588	0.24705882352941178
15	0.42058823529411765	0.65	0.25588235294117645
