iteration;avg_executed;avg_worst;avg_average;avg_best
0;44.63604134311806;44.63604134311806;44.63604134311806;44.63604134311806
1;49.71281592775211;35.01052396414029;47.17442863543507;59.338333306729865
2;56.81950899646619;32.07197939588587;50.389455422445444;75.02777744209038
3;69.3542706878849;22.731567658437918;53.96061254582257;87.70435521851323
4;73.24732129048462;15.207907503497372;53.28724295321386;93.94526179214877
5;72.52850416010105;13.662601419946316;54.264283036240286;94.12912076515508
6;55.10316478161667;-4.9420347496008;51.388825060388314;94.53312206066956
7;68.85200274276755;-6.804330633414683;52.33928101187319;95.01250927194735
8;64.8065183856614;-13.45810832027505;52.04760807606841;95.8809496498539
9;71.99310946778176;-14.068846009612944;53.77003060374965;97.25161985686705
10;63.24501893957793;-15.585160470862833;52.21842778391456;102.32320922716684
11;70.53603305715691;-21.029441603220807;52.54256017832368;103.43276436965665
12;49.700609183241106;-35.47146520182247;49.750679311246685;103.48989042705199
13;52.67870021501887;-44.71895393013418;48.279113316458805;103.66100118310054
14;68.24575734377144;-49.47521523781151;47.96094417030395;104.91333041184
15;70.96388713339877;-49.674442779481204;47.8121113497859;105.13313497030245
