Iteration;car_travel;car_wait;pt_travel;pt_wait;stageActivity_travel;stageActivity_wait;walk_travel;walk_wait
0;0;0;0;0;0;0;13;0
1;0;0;0;0;0;0;13;0
2;0;0;0;0;0;0;13;0
3;0;0;1;0;0;0;9;0
4;0;0;2;0;0;0;3;0
5;0;0;2;0;0;0;0;0
