Iteration	car	pt	walk
0	0.34411764705882353	0.5147058823529411	0.1411764705882353
1	0.4088235294117647	0.538235294117647	0.22941176470588234
2	0.4323529411764706	0.5676470588235294	0.2676470588235294
3	0.47352941176470587	0.6058823529411764	0.3264705882352941
4	0.5205882352941177	0.6235294117647059	0.3764705882352941
5	0.55	0.6411764705882353	0.4470588235294118
6	0.6294117647058823	0.6735294117647059	0.4852941176470588
7	0.6470588235294118	0.6882352941176471	0.55
8	0.6676470588235294	0.711764705882353	0.5823529411764706
9	0.711764705882353	0.7529411764705882	0.6352941176470588
10	0.711764705882353	0.7735294117647059	0.6735294117647059
11	0.7558823529411764	0.7911764705882353	0.6852941176470588
12	0.7764705882352941	0.7970588235294118	0.7088235294117647
13	0.8	0.8117647058823529	0.7147058823529412
14	0.8117647058823529	0.8352941176470589	0.7294117647058823
15	0.8235294117647058	0.8411764705882353	0.7411764705882353
