Iteration	car	motorcycle	pt	walk
0	0.0	0.0	0.0	0.0
1	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0
5	0.0	0.0	0.0	0.0
6	0.0	0.0	0.0	0.0
7	0.0	0.0	0.0	0.0
8	0.0	0.0	0.0	0.0
9	0.08	0.0225	0.035	0.0175
10	0.0925	0.0225	0.145	0.0375
11	0.115	0.03	0.1725	0.05
12	0.1475	0.0525	0.24	0.055
13	0.1575	0.0675	0.28	0.0575
14	0.1725	0.085	0.3025	0.065
15	0.1775	0.085	0.3625	0.09
16	0.1775	0.1075	0.3975	0.1075
17	0.1825	0.115	0.415	0.12
18	0.1825	0.12	0.435	0.1275
19	0.1825	0.1275	0.4675	0.1325
20	0.195	0.1275	0.475	0.145
21	0.2075	0.1275	0.485	0.145
22	0.2125	0.135	0.4975	0.145
