Iteration	car	motorcycle	pt	walk
0	0.0	0.0	0.0	0.0
1	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0
4	0.145	0.06	0.195	0.06
5	0.195	0.0825	0.3075	0.0775
6	0.2175	0.09	0.3975	0.085
7	0.225	0.105	0.425	0.11
8	0.2425	0.115	0.425	0.13
9	0.2575	0.1325	0.4375	0.1425
10	0.2625	0.1325	0.4725	0.17
11	0.2625	0.145	0.485	0.1775
12	0.2825	0.1625	0.495	0.1875
13	0.3075	0.18	0.5225	0.2025
14	0.32	0.195	0.5375	0.215
15	0.33	0.205	0.545	0.215
16	0.34	0.225	0.5525	0.215
17	0.3475	0.2525	0.5675	0.225
18	0.355	0.2625	0.5775	0.24
19	0.3725	0.2625	0.5925	0.2425
20	0.38	0.2725	0.5925	0.2425
21	0.405	0.2725	0.615	0.2475
22	0.42	0.29	0.62	0.2675
