pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	24	21	10	8	2	0	0	0	0	0	0	0	0
car interaction---education	7	0	0	0	0	0	0	0	0	0	0	0	1
car interaction---home	13	0	0	0	0	0	1	0	0	0	0	0	4
car interaction---leisure	15	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---shop	8	0	0	0	0	0	1	0	0	0	0	0	1
car interaction---work	14	0	0	0	0	0	0	0	0	0	0	0	0
education---car interaction	8	0	0	0	0	0	0	0	0	0	0	0	1
education---home	1	0	0	0	0	0	0	0	0	0	1	0	0
education---leisure	0	0	0	1	0	0	0	0	0	0	0	0	0
education---motorcycle interaction	12	0	0	0	0	0	1	0	0	0	0	0	0
education---pt interaction	21	1	3	0	0	0	0	0	0	0	0	0	0
education---shop	0	0	0	0	0	0	1	0	0	0	0	0	0
education---work	1	0	0	0	0	0	0	0	0	0	0	0	1
home---car interaction	19	0	0	0	0	0	1	0	0	0	0	0	4
home---leisure	2	0	0	0	0	0	0	0	1	0	0	0	1
home---motorcycle interaction	19	0	1	0	0	2	3	0	0	0	0	0	3
home---pt interaction	50	4	2	0	0	0	0	0	0	0	0	0	0
home---shop	1	0	1	0	1	1	0	0	0	0	0	0	0
home---work	0	0	0	0	0	0	0	2	0	0	0	0	2
leisure---car interaction	12	0	0	0	0	0	0	0	0	0	0	0	0
leisure---education	0	0	0	0	0	0	0	0	0	0	1	0	0
leisure---home	1	0	0	4	1	0	0	0	1	0	0	0	1
leisure---motorcycle interaction	18	0	0	1	0	0	1	0	0	0	0	0	1
leisure---pt interaction	20	7	3	0	0	0	0	0	0	0	0	0	0
leisure---shop	3	0	0	0	1	0	0	0	0	0	0	0	1
motorcycle interaction---education	14	0	0	0	0	0	0	0	0	0	0	0	0
motorcycle interaction---home	20	0	1	0	0	2	4	0	0	0	0	0	3
motorcycle interaction---leisure	17	0	0	1	0	0	1	0	0	0	0	0	1
motorcycle interaction---motorcycle interaction	27	37	19	11	2	0	0	0	0	0	0	0	0
motorcycle interaction---shop	12	0	0	0	0	0	1	0	0	0	0	0	3
motorcycle interaction---work	13	2	0	0	0	0	1	0	0	0	0	0	0
pt interaction---education	28	1	0	0	0	0	0	0	0	0	0	0	0
pt interaction---home	45	6	3	0	0	0	0	0	0	0	0	0	0
pt interaction---leisure	20	9	2	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	43	59	116	20	16	11	6	9	4	2	0	0	0
pt interaction---shop	21	5	2	0	0	0	0	0	0	0	0	0	0
pt interaction---work	31	8	2	1	0	0	0	0	0	0	0	0	0
shop---car interaction	8	0	0	0	0	0	1	0	0	0	0	0	1
shop---education	0	0	0	0	0	0	0	0	0	0	0	0	1
shop---leisure	1	0	0	0	0	0	0	1	0	0	0	0	0
shop---motorcycle interaction	13	0	0	0	0	0	1	0	0	0	0	0	3
shop---pt interaction	24	7	4	0	0	0	0	0	0	0	0	0	0
shop---work	0	0	0	0	0	1	0	0	0	0	0	1	0
work---car interaction	13	0	0	0	0	0	0	0	0	0	0	0	0
work---home	0	0	0	0	0	0	0	1	1	0	0	0	2
work---leisure	0	0	0	0	2	1	0	0	0	0	0	0	1
work---motorcycle interaction	15	2	0	0	0	0	1	0	0	0	0	0	0
work---pt interaction	30	8	0	0	0	0	0	0	0	0	0	0	0
work---shop	2	1	0	0	0	0	0	0	0	0	0	0	0

average leg duration: 579.7527333894028 seconds = 00:09:39
