pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	20	28	8	9	1	3	0	0	0	0	0	0	0
car interaction---education	8	0	0	0	0	0	0	0	0	0	0	0	1
car interaction---home	20	0	1	0	0	0	0	0	0	0	0	0	2
car interaction---leisure	11	0	0	1	0	0	2	0	0	0	0	0	0
car interaction---shop	10	0	0	0	0	0	0	0	0	0	0	0	1
car interaction---work	9	0	0	0	0	0	1	0	0	0	0	0	2
education---car interaction	9	0	0	0	0	0	0	0	0	0	0	0	1
education---home	1	0	0	0	0	1	0	0	0	0	1	1	0
education---motorcycle interaction	5	0	0	0	0	0	0	0	0	0	0	0	0
education---pt interaction	24	1	3	0	0	0	0	0	0	0	0	0	0
education---shop	0	0	0	0	0	0	1	0	0	0	0	0	1
education---work	2	0	0	0	0	0	0	0	0	0	0	0	0
home---car interaction	19	0	1	0	0	0	0	0	0	0	0	0	2
home---education	1	0	0	0	0	0	0	0	0	0	0	1	1
home---leisure	3	0	0	0	1	0	0	2	1	0	0	1	2
home---motorcycle interaction	17	0	0	0	0	1	2	0	0	0	0	0	2
home---pt interaction	45	6	3	0	0	0	0	1	0	0	0	0	0
home---shop	1	0	0	0	1	0	0	0	0	0	1	0	0
home---work	0	0	0	0	0	0	1	1	0	0	1	0	2
leisure---car interaction	13	0	0	1	0	0	2	0	0	0	0	0	0
leisure---education	0	0	0	0	0	1	0	0	0	0	1	0	0
leisure---home	0	0	0	2	1	1	0	0	1	0	0	0	2
leisure---motorcycle interaction	10	0	0	0	0	0	0	0	0	0	0	0	0
leisure---pt interaction	24	8	3	0	0	0	0	0	0	0	0	0	0
leisure---shop	2	0	0	0	1	0	0	0	0	0	0	1	1
leisure---work	0	0	0	1	0	0	0	0	0	0	0	0	0
motorcycle interaction---education	7	0	0	0	0	0	0	0	0	0	0	0	0
motorcycle interaction---home	14	0	0	0	0	1	2	0	0	0	0	0	0
motorcycle interaction---leisure	11	0	0	0	0	0	0	0	0	0	0	0	0
motorcycle interaction---motorcycle interaction	23	19	7	4	2	0	0	0	0	0	0	0	0
motorcycle interaction---shop	5	0	0	0	0	0	1	0	0	0	0	0	1
motorcycle interaction---work	11	1	0	0	0	0	0	0	0	0	0	0	1
pt interaction---education	26	2	1	0	0	0	0	0	0	0	0	0	0
pt interaction---home	45	9	2	0	0	0	0	1	0	0	0	0	0
pt interaction---leisure	22	8	3	1	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	44	64	110	23	20	14	9	7	3	2	1	0	0
pt interaction---shop	26	5	3	0	0	0	0	0	0	0	0	0	0
pt interaction---work	30	8	3	2	0	0	0	0	0	0	0	0	0
shop---car interaction	10	0	0	0	0	0	0	0	0	0	0	0	1
shop---education	1	0	0	0	0	0	0	0	0	0	0	0	0
shop---home	1	0	0	1	0	0	0	0	0	0	0	0	0
shop---leisure	1	0	0	0	0	0	0	2	0	0	0	1	0
shop---motorcycle interaction	5	0	0	0	0	0	1	0	0	0	0	0	1
shop---pt interaction	26	7	4	0	0	0	0	0	0	0	0	0	0
shop---work	0	0	0	0	0	1	1	0	0	0	0	0	1
work---car interaction	9	0	0	0	0	0	1	0	0	0	0	0	2
work---home	0	0	0	0	0	0	0	1	0	0	1	0	3
work---leisure	0	0	0	0	1	0	0	0	0	0	0	0	2
work---motorcycle interaction	12	1	0	0	0	0	0	0	0	0	0	0	1
work---pt interaction	34	8	0	0	0	0	0	0	0	0	0	0	0
work---shop	2	1	0	0	0	0	0	0	0	0	0	0	0

average leg duration: 606.9620476610768 seconds = 00:10:06
