ITERATION;avg. Average Leg distance;avg. Average Trip distance
0;5065.743695611378;7813.849087687765
1;4205.130888580244;7840.6882316931815
2;3896.9036380668517;7753.604869731706
3;3424.2790611525015;7821.606244267057
4;3490.19325571274;7692.552748866535
5;3514.9895404814984;7603.73682384741
