stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
BL10_UP,BL10,龍山寺-上行月臺(板南線),板南線,25.03528,121.500325,,,0,085,Asia/Taipei,1,一
BL10_DN,BL10,龍山寺-下行月臺(板南線),板南線,25.03528,121.500325,,,0,085,Asia/Taipei,1,二
BL10_Exit 1,BL10,1,板南線,25.035484,121.49953,,,2,085,Asia/Taipei,1,
BL10_Exit 2,BL10,2,板南線,25.035109,121.499798,,,2,085,Asia/Taipei,0,
BL10_Exit 3,BL10,3,板南線,25.035421,121.501622,,,2,085,Asia/Taipei,0,
086,BL11G12,西門,板南線/松山新店線,25.042025,121.508175,,,1,,Asia/Taipei,1,
BL11_UP,BL11,西門-上行月臺(板南線),板南線,25.042025,121.508175,,,0,086,Asia/Taipei,1,一
BL11_DN,BL11,西門-下行月臺(板南線),板南線,25.042025,121.508175,,,0,086,Asia/Taipei,1,三
G12_UP,G12,西門-上行月臺(松山新店線),松山新店線,25.042025,121.508175,,,0,086,Asia/Taipei,1,二
G12_DN,G12,西門-下行月臺(松山新店線),松山新店線,25.042025,121.508175,,,0,086,Asia/Taipei,1,四
BL11G12_Exit 1,BL11G12,1,板南線/松山新店線,25.042137,121.507566,,,2,086,Asia/Taipei,0,
BL11G12_Exit 2,BL11G12,2,板南線/松山新店線,25.041545,121.508435,,,2,086,Asia/Taipei,0,
BL11G12_Exit 3,BL11G12,3,板南線/松山新店線,25.041789,121.508888,,,2,086,Asia/Taipei,0,
BL11G12_Exit 4,BL11G12,4,板南線/松山新店線,25.042203,121.509006,,,2,086,Asia/Taipei,1,
BL11G12_Exit 5,BL11G12,5,板南線/松山新店線,25.042935,121.508789,,,2,086,Asia/Taipei,0,
BL11G12_Exit 6,BL11G12,6,板南線/松山新店線,25.042573,121.507602,,,2,086,Asia/Taipei,1,
051,BL12R10,台北車站,板南線/淡水信義線,25.04631,121.517415,,,1,,Asia/Taipei,1,
BL12_UP,BL12,台北車站-上行月臺(板南線),板南線,25.04631,121.517415,,,0,051,Asia/Taipei,1,三
BL12_DN,BL12,台北車站-下行月臺(板南線),板南線,25.04631,121.517415,,,0,051,Asia/Taipei,1,四
R10_UP,R10,台北車站-上行月臺(淡水信義線),淡水信義線,25.04631,121.517415,,,0,051,Asia/Taipei,1,一
R10_DN,R10,台北車站-下行月臺(淡水信義線),淡水信義線,25.04631,121.517415,,,0,051,Asia/Taipei,1,二
BL12R10_Exit M1,BL12R10,M1,板南線/淡水信義線,25.048232,121.518193,,,2,051,Asia/Taipei,0,
BL12R10_Exit M2,BL12R10,M2,板南線/淡水信義線,25.048064,121.519067,,,2,051,Asia/Taipei,1,
BL12R10_Exit M3,BL12R10,M3,板南線/淡水信義線,25.046337,121.517882,,,2,051,Asia/Taipei,0,
BL12R10_Exit M4,BL12R10,M4,板南線/淡水信義線,25.046485,121.517345,,,2,051,Asia/Taipei,1,
BL12R10_Exit M5,BL12R10,M5,板南線/淡水信義線,25.046755,121.516246,,,2,051,Asia/Taipei,0,
BL12R10_Exit M6,BL12R10,M6,板南線/淡水信義線,25.046234,121.516787,,,2,051,Asia/Taipei,0,
BL12R10_Exit M7,BL12R10,M7,板南線/淡水信義線,25.046077,121.518643,,,2,051,Asia/Taipei,0,
BL12R10_Exit M8,BL12R10,M8,板南線/淡水信義線,25.045948,121.517479,,,2,051,Asia/Taipei,0,
088,BL13,善導寺,板南線,25.04468,121.523885,,,1,,Asia/Taipei,1,
BL13_UP,BL13,善導寺-上行月臺(板南線),板南線,25.04468,121.523885,,,0,088,Asia/Taipei,1,一
BL13_DN,BL13,善導寺-下行月臺(板南線),板南線,25.04468,121.523885,,,0,088,Asia/Taipei,1,二
BL13_Exit 1,BL13,1,板南線,25.045097,121.523009,,,2,088,Asia/Taipei,0,
BL13_Exit 2,BL13,2,板南線,25.044796,121.523053,,,2,088,Asia/Taipei,0,
BL13_Exit 3,BL13,3,板南線,25.044568,121.523734,,,2,088,Asia/Taipei,1,
BL13_Exit 4,BL13,4,板南線,25.044111,121.524217,,,2,088,Asia/Taipei,0,
BL13_Exit 5,BL13,5,板南線,25.044256,121.52482,,,2,088,Asia/Taipei,0,
BL13_Exit 6,BL13,6,板南線,25.044632,121.524898,,,2,088,Asia/Taipei,0,
089,BL14O07,忠孝新生,板南線/中和新蘆線,25.042498,121.53321,,,1,,Asia/Taipei,1,
BL14_UP,BL14,忠孝新生-上行月臺(板南線),板南線,25.042498,121.53321,,,0,089,Asia/Taipei,1,一
