route_id,agency_id,route_short_name,route_long_name,route_type,route_desc,route_color,route_text_color
TXG2503_0,TXG_8102,黃3,黃3,3,,,
TXG2503_1,TXG_8102,黃3,黃3,3,,,
TXG2504_0,TXG_8102,黃4,黃4,3,,,
TXG2504_1,TXG_8102,黃4,黃4,3,,,
TXG2505_0,TXG_8102,黃5,黃5,3,,,
TXG2505_1,TXG_8102,黃5,黃5,3,,,
TXG2506_0,TXG_8102,黃6,黃6,3,,,
TXG2506_1,TXG_8102,黃6,黃6,3,,,
TXG2507_0,TXG_8102,黃7,黃7,3,,,
TXG2507_1,TXG_8102,黃7,黃7,3,,,
TXG2508_0,TXG_8102,黃8,黃8,3,,,
TXG2508_1,TXG_8102,黃8,黃8,3,,,
TXG2509_0,TXG_8102,黃9,黃9,3,,,
TXG2509_1,TXG_8102,黃9,黃9,3,,,
TXG251_0,TXG_6,251,251,3,,,
TXG251_1,TXG_6,251,251,3,,,
TXG2510_0,TXG_8102,黃10,黃10,3,,,
TXG2510_1,TXG_8102,黃10,黃10,3,,,
TXG2511_0,TXG_8103,黃11,黃11,3,,,
TXG2511_1,TXG_8103,黃11,黃11,3,,,
TXG2512_0,TXG_8103,黃12,黃12,3,,,
TXG2512_1,TXG_8103,黃12,黃12,3,,,
TXG2513_0,TXG_8103,黃13,黃13,3,,,
TXG2513_1,TXG_8103,黃13,黃13,3,,,
TXG2514_0,TXG_8103,黃14,黃14,3,,,
TXG2514_1,TXG_8103,黃14,黃14,3,,,
TXG2515_0,TXG_8103,黃15,黃15,3,,,
TXG2515_1,TXG_8103,黃15,黃15,3,,,
TXG2516_0,TXG_8102,黃16,黃16,3,,,
TXG2516_1,TXG_8102,黃16,黃16,3,,,
TXG2517_0,TXG_8102,黃17,黃17,3,,,
TXG2517_1,TXG_8102,黃17,黃17,3,,,
TXG25171_0,TXG_8102,黃17末班,黃17末班,3,,,
TXG25171_1,TXG_8102,黃17末班,黃17末班,3,,,
TXG2518_0,TXG_8102,黃18,黃18,3,,,
TXG2518_1,TXG_8102,黃18,黃18,3,,,
TXG2519_0,TXG_8103,黃19,黃19,3,,,
TXG2519_1,TXG_8103,黃19,黃19,3,,,
TXG252_0,TXG_6,252,252,3,,,
TXG252_1,TXG_6,252,252,3,,,
TXG2520_0,TXG_8103,黃20,黃20,3,,,
TXG2520_1,TXG_8103,黃20,黃20,3,,,
TXG2523_0,TXG_8102,黃21,黃21,3,,,
TXG2523_1,TXG_8102,黃21,黃21,3,,,
TXG2524_0,TXG_8102,黃22,黃22,3,,,
TXG2524_1,TXG_8102,黃22,黃22,3,,,
TXG2525_0,TXG_8103,黃23,黃23,3,,,
