time_s,time,person_id,mode,mode_original,x,y,leg_index,status,vehicleRefId,pt_transitLineId,pt_transitRouteId,pt_transportMode
22800,6:20:00,metro_up_01,walk,walk,294035.05,2762173.24,0,in_leg,,,,
22801,6:20:01,metro_up_01,walk,walk,294035.0508794822,2762173.23895046,0,in_leg,,,,
22926,6:22:06,metro_up_01,subway,pt,294035.0508794822,2762173.23895046,1,in_leg,,Blue,403_1460_UP,subway
22926,6:22:06,metro_up_01,subway,pt,294859.6990734095,2762874.8386587347,1,in_leg,,Blue,403_1460_UP,subway
22926,6:22:06,metro_up_01,subway,pt,295300.4898398059,2764224.8517480693,1,in_leg,,Blue,403_1460_UP,subway
22926,6:22:06,metro_up_01,subway,pt,295672.75806585717,2765663.266213558,1,in_leg,,Blue,403_1460_UP,subway
22926,6:22:06,metro_up_01,subway,pt,296356.4617399499,2766793.710940271,1,in_leg,,Blue,403_1460_UP,subway
22926,6:22:06,metro_up_01,subway,pt,296660.1690383145,2767388.4471152932,1,in_leg,,Blue,403_1460_UP,subway
22926,6:22:06,metro_up_01,subway,pt,297236.90702420456,2768436.6099721375,1,in_leg,,Blue,403_1460_UP,subway
22926,6:22:06,metro_up_01,subway,pt,297689.8716625933,2769212.9908094765,1,in_leg,,Blue,403_1460_UP,subway
22926,6:22:06,metro_up_01,subway,pt,300488.7872939309,2769778.5391352274,1,in_leg,,Blue,403_1460_UP,subway
22926,6:22:06,metro_up_01,subway,pt,301278.15512185276,2770528.600776343,1,in_leg,,Blue,403_1460_UP,subway
22926,6:22:06,metro_up_01,subway,pt,302208.73284823,2771006.7627904457,1,in_leg,,Blue,403_1460_UP,subway
22926,6:22:06,metro_up_01,subway,pt,302862.28591230744,2770828.7266682894,1,in_leg,,Blue,403_1460_UP,subway
22931,6:22:11,metro_up_01,subway,pt,294068.0368072393,2762201.302938791,1,in_leg,,Blue,403_1460_UP,subway
22931,6:22:11,metro_up_01,subway,pt,294868.3420296133,2762901.3095036238,1,in_leg,,Blue,403_1460_UP,subway
22931,6:22:11,metro_up_01,subway,pt,295304.9216044017,2764241.975729801,1,in_leg,,Blue,403_1460_UP,subway
22931,6:22:11,metro_up_01,subway,pt,295679.0886554321,2765673.7332943613,1,in_leg,,Blue,403_1460_UP,subway
22931,6:22:11,metro_up_01,subway,pt,296358.87211533374,2766798.4310686444,1,in_leg,,Blue,403_1460_UP,subway
22931,6:22:11,metro_up_01,subway,pt,296663.9884951747,2767395.3885911666,1,in_leg,,Blue,403_1460_UP,subway
