pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	25	28	17	12	3	3	0	0	0	0	0	0	0
car interaction---education	15	0	0	0	0	0	0	0	0	0	0	0	2
car interaction---home	23	0	0	0	0	0	2	0	0	0	0	0	1
car interaction---leisure	9	0	0	0	0	0	3	0	0	0	0	0	1
car interaction---shop	15	0	0	0	0	0	2	0	0	0	0	0	2
car interaction---work	10	0	0	0	0	0	1	0	0	0	0	0	2
education---car interaction	15	0	0	0	0	0	0	0	0	0	0	0	2
education---home	2	0	0	0	0	0	1	1	0	0	0	1	0
education---leisure	0	0	0	0	0	0	0	0	0	0	1	0	0
education---pt interaction	21	3	3	0	0	0	0	0	0	0	0	0	0
education---work	2	0	0	0	0	0	0	0	0	0	0	0	0
home---car interaction	27	0	0	0	0	0	2	0	0	0	0	0	1
home---education	0	0	0	0	0	0	0	0	0	0	0	1	0
home---leisure	3	0	0	0	1	1	1	0	1	0	0	0	1
home---pt interaction	44	4	0	0	0	0	0	0	0	0	0	0	0
home---shop	0	0	0	0	1	0	1	0	0	0	0	1	3
home---work	0	0	0	0	0	0	1	1	0	1	1	0	3
leisure---car interaction	10	0	0	0	0	0	3	0	0	0	0	0	1
leisure---home	0	0	0	0	1	0	0	0	1	0	0	0	2
leisure---pt interaction	22	4	5	0	0	0	0	0	0	0	0	0	0
leisure---shop	3	0	0	0	1	0	0	0	0	1	0	0	0
leisure---work	0	0	0	2	1	0	0	0	0	0	1	0	0
pt interaction---education	23	3	3	0	0	0	0	0	0	0	0	0	0
pt interaction---home	44	7	0	0	0	0	0	0	0	0	0	0	0
pt interaction---leisure	23	4	2	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	34	59	105	21	15	13	6	4	3	2	0	0	0
pt interaction---shop	21	4	3	0	0	0	0	0	0	0	0	0	0
pt interaction---work	27	5	1	0	0	0	0	0	0	0	0	0	0
shop---car interaction	14	0	0	0	0	0	2	0	0	0	0	0	2
shop---education	1	0	0	1	0	0	0	0	0	0	0	1	1
shop---home	0	0	0	0	0	1	0	0	0	0	0	0	3
shop---leisure	1	0	0	2	0	0	0	1	0	0	0	0	2
shop---pt interaction	25	5	4	0	0	0	0	0	0	0	0	0	0
work---car interaction	10	0	0	0	0	0	1	0	0	0	0	0	2
work---education	0	0	0	0	0	0	0	0	0	0	0	1	0
work---home	0	1	0	0	0	1	2	1	0	0	1	0	0
work---leisure	0	0	0	0	0	0	0	0	0	0	0	0	1
work---pt interaction	26	4	0	0	0	0	0	0	0	0	0	0	0
work---shop	2	1	0	2	0	2	0	0	0	0	0	0	1

average leg duration: 710.2014846235419 seconds = 00:11:50
