stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,stop_x_EPSG3826,stop_y_EPSG3826
BL08_Exit 4,BL08,4,板南線,25.023638,121.468728,,,2,083,Asia/Taipei,1,,297304.687,2768477.606
BL08_Exit 5,BL08,5,板南線,25.024163,121.468138,,,2,083,Asia/Taipei,1,,297244.942,2768535.552
084,BL09,江子翠,板南線,25.030265,121.47257,,,1,,Asia/Taipei,1,,297689.872,2769212.991
BL09_UP,BL09,江子翠-上行月臺(板南線),板南線,25.030265,121.47257,,,0,084,Asia/Taipei,1,一,297689.872,2769212.991
BL09_DN,BL09,江子翠-下行月臺(板南線),板南線,25.030265,121.47257,,,0,084,Asia/Taipei,1,二,297689.872,2769212.991
BL09_Exit 1,BL09,1,板南線,25.030298,121.471914,,,2,084,Asia/Taipei,0,,297623.657,2769216.415
BL09_Exit 2,BL09,2,板南線,25.029782,121.471903,,,2,084,Asia/Taipei,0,,297622.746,2769159.257
BL09_Exit 3,BL09,3,板南線,25.029459,121.472156,,,2,084,Asia/Taipei,1,,297648.403,2769123.569
BL09_Exit 4,BL09,4,板南線,25.029763,121.472719,,,2,084,Asia/Taipei,0,,297705.102,2769157.439
BL09_Exit 5,BL09,5,板南線,25.031027,121.473609,,,2,084,Asia/Taipei,0,,297794.43,2769297.76
BL09_Exit 6,BL09,6,板南線,25.031095,121.473126,,,2,084,Asia/Taipei,0,,297745.661,2769305.121
085,BL10,龍山寺,板南線,25.03528,121.500325,,,1,,Asia/Taipei,1,,300488.787,2769778.539
BL10_UP,BL10,龍山寺-上行月臺(板南線),板南線,25.03528,121.500325,,,0,085,Asia/Taipei,1,一,300488.787,2769778.539
BL10_DN,BL10,龍山寺-下行月臺(板南線),板南線,25.03528,121.500325,,,0,085,Asia/Taipei,1,二,300488.787,2769778.539
BL10_Exit 1,BL10,1,板南線,25.035484,121.49953,,,2,085,Asia/Taipei,1,,300408.478,2769800.839
BL10_Exit 2,BL10,2,板南線,25.035109,121.499798,,,2,085,Asia/Taipei,0,,300435.676,2769759.402
BL10_Exit 3,BL10,3,板南線,25.035421,121.501622,,,2,085,Asia/Taipei,0,,300619.614,2769794.641
086,BL11G12,西門,板南線/松山新店線,25.042025,121.508175,,,1,,Asia/Taipei,1,,301278.155,2770528.601
BL11_UP,BL11,西門-上行月臺(板南線),板南線,25.042025,121.508175,,,0,086,Asia/Taipei,1,一,301278.155,2770528.601
BL11_DN,BL11,西門-下行月臺(板南線),板南線,25.042025,121.508175,,,0,086,Asia/Taipei,1,三,301278.155,2770528.601
G12_UP,G12,西門-上行月臺(松山新店線),松山新店線,25.042025,121.508175,,,0,086,Asia/Taipei,1,二,301278.155,2770528.601
G12_DN,G12,西門-下行月臺(松山新店線),松山新店線,25.042025,121.508175,,,0,086,Asia/Taipei,1,四,301278.155,2770528.601
BL11G12_Exit 1,BL11G12,1,板南線/松山新店線,25.042137,121.507566,,,2,086,Asia/Taipei,0,,301216.656,2770540.776
BL11G12_Exit 2,BL11G12,2,板南線/松山新店線,25.041545,121.508435,,,2,086,Asia/Taipei,0,,301304.591,2770475.532
BL11G12_Exit 3,BL11G12,3,板南線/松山新店線,25.041789,121.508888,,,2,086,Asia/Taipei,0,,301350.201,2770502.73
BL11G12_Exit 4,BL11G12,4,板南線/松山新店線,25.042203,121.509006,,,2,086,Asia/Taipei,1,,301361.936,2770548.632
BL11G12_Exit 5,BL11G12,5,板南線/松山新店線,25.042935,121.508789,,,2,086,Asia/Taipei,0,,301339.734,2770629.63
BL11G12_Exit 6,BL11G12,6,板南線/松山新店線,25.042573,121.507602,,,2,086,Asia/Taipei,1,,301220.107,2770589.083
051,BL12R10,台北車站,板南線/淡水信義線,25.04631,121.517415,,,1,,Asia/Taipei,1,,302208.733,2771006.763
BL12_UP,BL12,台北車站-上行月臺(板南線),板南線,25.04631,121.517415,,,0,051,Asia/Taipei,1,三,302208.733,2771006.763
BL12_DN,BL12,台北車站-下行月臺(板南線),板南線,25.04631,121.517415,,,0,051,Asia/Taipei,1,四,302208.733,2771006.763
R10_UP,R10,台北車站-上行月臺(淡水信義線),淡水信義線,25.04631,121.517415,,,0,051,Asia/Taipei,1,一,302208.733,2771006.763
R10_DN,R10,台北車站-下行月臺(淡水信義線),淡水信義線,25.04631,121.517415,,,0,051,Asia/Taipei,1,二,302208.733,2771006.763
BL12R10_Exit M1,BL12R10,M1,板南線/淡水信義線,25.048232,121.518193,,,2,051,Asia/Taipei,0,,302286.422,2771219.954
BL12R10_Exit M2,BL12R10,M2,板南線/淡水信義線,25.048064,121.519067,,,2,051,Asia/Taipei,1,,302374.682,2771201.684
BL12R10_Exit M3,BL12R10,M3,板南線/淡水信義線,25.046337,121.517882,,,2,051,Asia/Taipei,0,,302255.844,2771009.934
BL12R10_Exit M4,BL12R10,M4,板南線/淡水信義線,25.046485,121.517345,,,2,051,Asia/Taipei,1,,302201.595,2771026.12
BL12R10_Exit M5,BL12R10,M5,板南線/淡水信義線,25.046755,121.516246,,,2,051,Asia/Taipei,0,,302090.587,2771055.603
BL12R10_Exit M6,BL12R10,M6,板南線/淡水信義線,25.046234,121.516787,,,2,051,Asia/Taipei,0,,302145.397,2770998.102
BL12R10_Exit M7,BL12R10,M7,板南線/淡水信義線,25.046077,121.518643,,,2,051,Asia/Taipei,0,,302332.743,2770981.429
BL12R10_Exit M8,BL12R10,M8,板南線/淡水信義線,25.045948,121.517479,,,2,051,Asia/Taipei,0,,302215.344,2770966.69
088,BL13,善導寺,板南線,25.04468,121.523885,,,1,,Asia/Taipei,1,,302862.286,2770828.727
BL13_UP,BL13,善導寺-上行月臺(板南線),板南線,25.04468,121.523885,,,0,088,Asia/Taipei,1,一,302862.286,2770828.727
BL13_DN,BL13,善導寺-下行月臺(板南線),板南線,25.04468,121.523885,,,0,088,Asia/Taipei,1,二,302862.286,2770828.727
BL13_Exit 1,BL13,1,板南線,25.045097,121.523009,,,2,088,Asia/Taipei,0,,302773.714,2770874.574
BL13_Exit 2,BL13,2,板南線,25.044796,121.523053,,,2,088,Asia/Taipei,0,,302778.282,2770841.251
BL13_Exit 3,BL13,3,板南線,25.044568,121.523734,,,2,088,Asia/Taipei,1,,302847.097,2770816.262
BL13_Exit 4,BL13,4,板南線,25.044111,121.524217,,,2,088,Asia/Taipei,0,,302896.031,2770765.831
BL13_Exit 5,BL13,5,板南線,25.044256,121.52482,,,2,088,Asia/Taipei,0,,302956.815,2770782.128
BL13_Exit 6,BL13,6,板南線,25.044632,121.524898,,,2,088,Asia/Taipei,0,,302964.525,2770823.806
089,BL14O07,忠孝新生,板南線/中和新蘆線,25.042498,121.53321,,,1,,Asia/Taipei,1,,303804.189,2770590.711
BL14_UP,BL14,忠孝新生-上行月臺(板南線),板南線,25.042498,121.53321,,,0,089,Asia/Taipei,1,一,303804.189,2770590.711
BL14_DN,BL14,忠孝新生-下行月臺(板南線),板南線,25.042498,121.53321,,,0,089,Asia/Taipei,1,二,303804.189,2770590.711
O07_UP,O07,忠孝新生-上行月臺(中和新蘆線),中和新蘆線,25.042498,121.53321,,,0,089,Asia/Taipei,1,三,303804.189,2770590.711
O07_DN,O07,忠孝新生-下行月臺(中和新蘆線),中和新蘆線,25.042498,121.53321,,,0,089,Asia/Taipei,1,四,303804.189,2770590.711
BL14O07_Exit 1,BL14O07,1,板南線/中和新蘆線,25.042784,121.531829,,,2,089,Asia/Taipei,0,,303664.71,2770621.842
BL14O07_Exit 2,BL14O07,2,板南線/中和新蘆線,25.042103,121.532065,,,2,089,Asia/Taipei,1,,303688.821,2770546.504
BL14O07_Exit 3,BL14O07,3,板南線/中和新蘆線,25.041783,121.53368,,,2,089,Asia/Taipei,1,,303851.928,2770511.7
BL14O07_Exit 4,BL14O07,4,板南線/中和新蘆線,25.042458,121.533213,,,2,089,Asia/Taipei,0,,303804.509,2770586.281
BL14O07_Exit 5,BL14O07,5,板南線/中和新蘆線,25.041214,121.532232,,,2,089,Asia/Taipei,0,,303706.06,2770448.1
BL14O07_Exit 6,BL14O07,6,板南線/中和新蘆線,25.040791,121.533068,,,2,089,Asia/Taipei,0,,303790.604,2770401.578
BL14O07_Exit 7,BL14O07,7,板南線/中和新蘆線,25.041729,121.533068,,,2,089,Asia/Taipei,0,,303790.195,2770505.476
010,BR10BL15,忠孝復興,文湖線/板南線,25.041749,121.545026,,,1,,Asia/Taipei,1,,304996.853,2770512.496
BL15_UP,BL15,忠孝復興-上行月臺(板南線),板南線,25.041749,121.545026,,,0,010,Asia/Taipei,1,一,304996.853,2770512.496
BL15_DN,BL15,忠孝復興-下行月臺(板南線),板南線,25.041749,121.545026,,,0,010,Asia/Taipei,1,二,304996.853,2770512.496
BR10_UP,BR10,忠孝復興-上行月臺(文湖線),文湖線,25.041749,121.545026,,,0,010,Asia/Taipei,1,一,304996.853,2770512.496
BR10_DN,BR10,忠孝復興-下行月臺(文湖線),文湖線,25.041749,121.545026,,,0,010,Asia/Taipei,1,二,304996.853,2770512.496
BR10BL15_Exit 1,BR10BL15,1,文湖線/板南線,25.041797,121.543143,,,2,010,Asia/Taipei,0,,304806.821,2770517.049
BR10BL15_Exit 2,BR10BL15,2,文湖線/板南線,25.041355,121.543422,,,2,010,Asia/Taipei,1,,304835.171,2770468.204
BR10BL15_Exit 3,BR10BL15,3,文湖線/板南線,25.041467,121.544806,,,2,010,Asia/Taipei,0,,304974.779,2770481.171
BR10BL15_Exit 4,BR10BL15,4,文湖線/板南線,25.041772,121.54506,,,2,010,Asia/Taipei,0,,305000.274,2770515.058
BR10BL15_Exit 5,BR10BL15,5,文湖線/板南線,25.04202,121.543985,,,2,010,Asia/Taipei,0,,304891.687,2770542.091
091,BL16,忠孝敦化,板南線,25.041505,121.55045,,,1,,Asia/Taipei,1,,305544.293,2770487.684
BL16_UP,BL16,忠孝敦化-上行月臺(板南線),板南線,25.041505,121.55045,,,0,091,Asia/Taipei,1,一,305544.293,2770487.684
BL16_DN,BL16,忠孝敦化-下行月臺(板南線),板南線,25.041505,121.55045,,,0,091,Asia/Taipei,1,二,305544.293,2770487.684
