pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	28	44	14	15	1	3	0	0	0	0	0	0	0
car interaction---education	20	0	0	0	0	0	1	0	0	0	0	0	0
car interaction---home	29	0	0	0	0	0	2	0	0	0	0	0	2
car interaction---leisure	13	0	0	0	0	0	2	0	0	0	0	0	1
car interaction---shop	13	0	0	0	0	0	3	0	0	0	0	0	2
car interaction---work	14	0	0	0	0	0	1	0	0	0	0	0	2
education---car interaction	19	0	0	0	0	0	1	0	0	0	0	0	0
education---home	2	0	0	0	0	0	1	1	0	0	0	0	1
education---leisure	0	0	0	1	0	0	0	0	0	0	0	0	1
education---pt interaction	13	2	3	0	0	0	0	0	0	0	0	0	0
education---shop	0	0	0	0	0	0	1	0	0	0	0	0	1
education---work	2	0	0	0	0	0	0	0	1	0	0	0	0
home---car interaction	33	0	0	0	0	0	2	0	0	0	0	0	2
home---education	0	1	0	1	0	0	0	0	0	0	0	0	1
home---leisure	3	0	0	0	0	0	1	0	1	0	0	0	4
home---pt interaction	39	4	0	0	0	0	0	0	0	0	0	0	0
home---shop	1	0	0	0	1	1	0	0	0	0	0	1	1
home---work	0	0	1	0	0	0	0	0	0	0	0	0	2
leisure---car interaction	14	0	0	0	0	0	2	0	0	0	0	0	1
leisure---education	0	0	0	0	0	0	0	0	0	0	0	0	2
leisure---home	0	0	0	1	1	0	0	0	1	0	0	0	2
leisure---pt interaction	18	4	3	0	0	0	0	0	0	0	0	0	0
leisure---shop	2	0	0	0	1	0	0	0	0	0	0	0	2
leisure---work	0	0	0	0	0	0	0	0	0	0	1	0	1
pt interaction---education	17	2	2	0	0	0	0	0	0	0	0	0	0
pt interaction---home	37	5	1	0	0	0	0	0	0	0	0	0	0
pt interaction---leisure	19	5	1	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	36	54	81	17	10	10	7	5	3	1	1	0	0
pt interaction---shop	23	6	3	0	0	0	0	0	0	0	0	0	0
pt interaction---work	30	3	1	0	0	0	0	0	0	0	0	0	0
shop---car interaction	13	0	0	0	0	0	3	0	0	0	0	0	2
shop---education	1	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	0	0	0	1	0	0	0	0	0	1	0	0	3
shop---leisure	1	0	0	0	0	0	0	1	0	0	1	0	0
shop---pt interaction	24	8	4	0	0	0	0	0	0	0	0	0	0
shop---work	0	0	0	0	0	1	0	0	0	0	0	1	0
work---car interaction	14	0	0	0	0	0	1	0	0	0	0	0	2
work---education	0	0	0	0	0	0	0	0	0	0	0	1	0
work---home	0	0	0	0	0	1	0	0	0	1	0	0	3
work---leisure	0	0	0	0	0	0	0	0	0	0	1	0	0
work---pt interaction	30	3	0	0	0	0	0	0	0	0	0	0	0
work---shop	2	1	0	0	0	0	0	1	0	0	0	0	0

average leg duration: 716.4615384615385 seconds = 00:11:56
