pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	0	6	1	0	0	0	0	0	0	0	0	0	0
car interaction---home	0	0	0	0	0	0	0	0	0	0	0	0	3
car interaction---work	3	0	0	0	0	0	0	0	0	0	0	0	1
home---car interaction	0	0	0	0	0	0	0	0	0	0	0	0	4
home---pt interaction	6	0	0	0	0	0	0	0	0	0	0	0	0
home---work	0	0	0	0	0	0	0	0	0	0	0	0	10
pt interaction---home	6	0	0	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	0	0	3	3	1	1	2	0	1	1	0	0	0
pt interaction---work	6	0	0	0	0	0	0	0	0	0	0	0	0
work---car interaction	3	0	0	0	0	0	0	0	0	0	0	0	1
work---home	0	0	0	0	0	0	0	0	0	0	0	0	10
work---pt interaction	6	0	0	0	0	0	0	0	0	0	0	0	0

average leg duration: 3394.8205128205127 seconds = 00:56:34
