pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	31	32	11	12	2	1	0	0	0	0	0	0	0
car interaction---education	14	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---home	28	0	0	0	0	0	1	0	0	0	0	0	0
car interaction---leisure	11	0	0	0	0	0	2	0	0	0	0	0	3
car interaction---shop	12	0	0	0	0	0	2	0	0	0	0	0	3
car interaction---work	11	0	0	0	0	0	1	0	0	0	0	0	1
education---car interaction	14	0	0	0	0	0	0	0	0	0	0	0	0
education---home	2	0	0	0	0	0	1	0	0	0	0	1	1
education---leisure	0	0	0	1	0	0	0	0	0	0	0	0	1
education---pt interaction	19	1	3	0	0	0	0	0	0	0	0	0	0
education---shop	0	0	0	0	0	0	1	0	0	0	0	0	1
education---work	2	0	0	0	0	0	0	0	1	1	0	0	0
home---car interaction	33	0	0	0	0	0	1	0	0	0	0	0	2
home---education	0	1	0	0	0	0	0	0	0	0	0	1	3
home---leisure	2	0	0	0	1	0	0	0	1	0	0	0	2
home---pt interaction	41	5	0	0	0	0	0	0	0	0	0	0	0
home---shop	1	0	0	0	1	1	0	0	0	0	0	0	2
home---work	0	0	1	0	0	0	0	0	0	0	0	0	1
leisure---car interaction	11	0	0	0	0	0	2	0	0	0	0	0	3
leisure---education	0	0	0	0	0	0	0	0	0	0	0	0	1
leisure---home	0	0	0	1	1	0	0	0	1	0	0	0	1
leisure---pt interaction	23	3	4	0	0	0	0	0	0	0	0	0	0
leisure---shop	2	0	0	0	1	0	0	0	0	0	0	0	1
pt interaction---education	23	2	2	0	0	0	0	0	0	0	0	0	0
pt interaction---home	38	8	1	0	0	0	0	0	0	0	0	0	0
pt interaction---leisure	24	4	2	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	40	59	83	18	16	10	7	6	3	2	2	0	0
pt interaction---shop	22	6	3	0	0	0	0	0	0	0	0	0	0
pt interaction---work	31	5	1	0	0	0	0	0	0	0	0	0	0
shop---car interaction	12	0	0	0	0	0	2	0	0	0	0	0	3
shop---education	1	0	0	0	0	0	0	0	0	0	0	0	1
shop---home	0	0	0	1	0	0	0	0	0	1	0	0	2
shop---leisure	0	0	0	0	0	0	0	1	0	0	0	0	0
shop---pt interaction	24	9	5	0	0	0	0	0	0	0	0	0	0
shop---work	0	0	0	0	0	1	0	0	0	0	0	1	0
work---car interaction	11	0	0	0	0	0	1	0	0	0	0	0	1
work---education	0	0	0	0	0	0	0	0	0	0	0	1	0
work---home	0	0	0	0	0	0	0	0	0	1	0	0	3
work---pt interaction	30	5	0	0	0	0	0	0	0	0	0	0	0
work---shop	2	1	0	0	0	0	0	1	0	0	0	0	1

average leg duration: 677.5276273022752 seconds = 00:11:17
