iteration;avg_executed;avg_worst;avg_average;avg_best
0;38.076591656331836;38.076591656331836;38.076591656331836;38.076591656331836
1;39.777990018616556;38.076591656331836;38.92729083747419;39.777990018616556
2;1.6494048509401478;0.22392303971196667;22.86570359672354;40.067020585657524
3;29.458421854541943;0.22392303971196667;25.154020990766625;42.60586988384247
4;-8.079180234996091;-45.97440198999451;8.591010735764831;44.02102747076639
5;26.914369997944387;-45.97440198999451;12.527278591254918;45.71679623500002
6;4.8485732625737725;-79.59452425787596;4.29572487788585;47.13637636643505
7;21.79103000356224;-92.21616393233354;4.428374872138075;47.98415152336455
8;5.6205762141953;-113.02254332505716;1.6719191917354965;48.832227531984834
9;22.835906003986352;-125.78404304410077;0.6387983030651029;51.09498303758415
10;6.026153431017318;-142.55750922948076;-3.4743332203791653;51.666445958103324
11;6.557056993082472;-151.10390126750525;-6.231096772098;53.086120929751324
12;27.92957479680573;-155.29974044339517;-4.6078132224544515;53.94031706198945
13;31.853537492023392;-159.4436652476761;-3.020700102946256;55.0779017275956
14;6.71223935568592;-176.3254451418386;-5.58644336623504;55.640518096348984
15;23.337293684566003;-180.46811885979258;-3.718507299730652;56.51327965122372
