Iteration;car;walk
0;0;3538
1;131;3443
2;110;3142
3;306;3211
4;328;2877
5;438;3081
6;350;2968
7;372;3093
8;394;2936
9;459;3030
10;437;2904
11;503;2857
12;525;3018
13;481;3084
14;503;2857
15;809;2741
