time_s,time,person_id,mode,mode_original,x,y,leg_index,status,vehicleRefId,pt_transitLineId,pt_transitRouteId,pt_transportMode,activity_type,activity_sequence,activity_link,activity_dist_km,activity_match_type,activity_count,activity_types
21600,6:00:00,mixed_agent_01,walk,walk,304403.51,2766071.46,0,in_leg,,,,,home,0,pt_metro_G06_DN_pt_metro_G05_DN,0.0,spatial,3,"home,pt interaction,work"
21608,6:00:08,mixed_agent_01,walk,walk,304403.8769018519,2766079.7383859106,0,in_leg,,,,,home,0,pt_metro_G06_DN_pt_metro_G05_DN,0.008286512550821773,spatial,3,"home,pt interaction,work"
21616,6:00:16,mixed_agent_01,walk,walk,304404.24380370387,2766088.0167718213,0,in_leg,,,,,pt interaction,1,pt_metro_G06_DN,0.008286512550821773,spatial,3,"home,pt interaction,work"
21624,6:00:24,mixed_agent_01,walk,walk,304404.61070555577,2766096.295157732,0,in_leg,,,,,pt interaction,1,pt_metro_G06_DN,0.0,spatial,3,"home,pt interaction,work"
21699,6:01:39,mixed_agent_01,subway,pt,304404.61070555577,2766096.295157732,1,in_leg,,metro_Green,metro_Green_1_1_40320,subway,pt interaction,1,pt_metro_G06_DN,0.0,spatial,3,"home,pt interaction,work"
21699,6:01:39,mixed_agent_01,subway,pt,304591.03847905016,2765090.6795186438,1,in_leg,,metro_Green,metro_Green_1_1_40320,subway,,,,,,3,"home,pt interaction,work"
21699,6:01:39,mixed_agent_01,subway,pt,304656.9326833884,2763972.743357124,1,in_leg,,metro_Green,metro_Green_1_1_40320,subway,,,,,,3,"home,pt interaction,work"
21709,6:01:49,mixed_agent_01,subway,pt,304418.95130351686,2766018.940108571,1,in_leg,,metro_Green,metro_Green_1_1_40320,subway,home,0,pt_metro_G06_DN_pt_metro_G05_DN,0.0547427881093801,spatial,3,"home,pt interaction,work"
21709,6:01:49,mixed_agent_01,subway,pt,304593.47900513676,2765049.2744756243,1,in_leg,,metro_Green,metro_Green_1_1_40320,subway,,,,,,3,"home,pt interaction,work"
21709,6:01:49,mixed_agent_01,subway,pt,304661.23236836976,2763951.567206904,1,in_leg,,metro_Green,metro_Green_1_1_40320,subway,,,,,,3,"home,pt interaction,work"
