time_s,time,person_id,mode,mode_original,x,y,leg_index,status,vehicleRefId,pt_transitLineId,pt_transitRouteId,pt_transportMode,activity_type,activity_sequence,activity_link,activity_dist_km,activity_match_type,activity_count,activity_types
62933,17:28:53,pt_transfer_agent_31,pt,pt,303121.72671808593,2769228.4604143105,8,in_leg,,Orange,389_1287_DN,,pt interaction,2,pt_O06_UP,0.4717549876404565,spatial,3,"home,pt interaction,work"
62934,17:28:54,pt_transfer_agent_35,pt,pt,302668.6244879052,2768342.7809807225,8,in_leg,,Orange,389_1287_DN,,pt interaction,2,pt_O05_UP,0.4683237709177654,spatial,3,"home,pt interaction,work"
62935,17:28:55,pt_transfer_agent_36,pt,pt,306631.7316182738,2769515.773515205,8,in_leg,,Red,377_1221_DN,,,,,,,3,"home,pt interaction,work"
62938,17:28:58,pt_transfer_agent_31,pt,pt,303108.8500767679,2769202.757575728,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
62939,17:28:59,pt_transfer_agent_35,pt,pt,302656.71325879416,2768320.485377997,8,in_leg,,Orange,389_1287_DN,,pt interaction,2,pt_O05_UP,0.4926803325075314,spatial,3,"home,pt interaction,work"
62940,17:29:00,pt_transfer_agent_36,pt,pt,306663.9205614766,2769514.739507395,8,in_leg,,Red,377_1221_DN,,,,,,,3,"home,pt interaction,work"
62943,17:29:03,pt_transfer_agent_31,pt,pt,303095.9734354498,2769177.054737146,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
62944,17:29:04,pt_transfer_agent_35,pt,pt,302644.8020296831,2768298.1897752713,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
62945,17:29:05,pt_transfer_agent_36,pt,pt,306696.10950467933,2769513.7054995853,8,in_leg,,Red,377_1221_DN,,,,,,,3,"home,pt interaction,work"
62948,17:29:08,pt_transfer_agent_31,pt,pt,303083.09679413174,2769151.3518985636,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
62949,17:29:09,pt_transfer_agent_35,pt,pt,302632.89080057206,2768275.8941725455,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
62950,17:29:10,pt_transfer_agent_36,pt,pt,306728.2984478821,2769512.671491775,8,in_leg,,Red,377_1221_DN,,,,,,,3,"home,pt interaction,work"
62953,17:29:13,pt_transfer_agent_31,pt,pt,303070.2201528137,2769125.649059981,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
62954,17:29:14,pt_transfer_agent_35,pt,pt,302620.979571461,2768253.5985698197,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
62955,17:29:15,pt_transfer_agent_36,pt,pt,306760.4873910849,2769511.6374839656,8,in_leg,,Red,377_1221_DN,,,,,,,3,"home,pt interaction,work"
62958,17:29:18,pt_transfer_agent_31,pt,pt,303057.3435114956,2769099.946221399,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
62959,17:29:19,pt_transfer_agent_35,pt,pt,302609.06834234996,2768231.302967094,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
62960,17:29:20,pt_transfer_agent_36,pt,pt,306792.6763342877,2769510.603476156,8,in_leg,,Red,377_1221_DN,,,,,,,3,"home,pt interaction,work"
62963,17:29:23,pt_transfer_agent_31,pt,pt,303044.46687017754,2769074.2433828167,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
62964,17:29:24,pt_transfer_agent_35,pt,pt,302597.1571132389,2768209.0073643685,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
62965,17:29:25,pt_transfer_agent_36,pt,pt,306824.86527749046,2769509.569468346,8,in_leg,,Red,377_1221_DN,,,,,,,3,"home,pt interaction,work"
62968,17:29:28,pt_transfer_agent_31,pt,pt,303031.5902288595,2769048.540544234,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
62969,17:29:29,pt_transfer_agent_35,pt,pt,302585.24588412786,2768186.7117616427,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
62970,17:29:30,pt_transfer_agent_36,pt,pt,306857.0542206932,2769508.5354605364,8,in_leg,,Red,377_1221_DN,,,,,,,3,"home,pt interaction,work"
62973,17:29:33,pt_transfer_agent_31,pt,pt,303018.7135875414,2769022.837705652,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
62974,17:29:34,pt_transfer_agent_35,pt,pt,302573.3346550168,2768164.416158917,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
62975,17:29:35,car_agent_81,walk,walk,300253.4824867919,2780450.178712846,5,in_leg,,,,,car interaction,1,2120,0.0,spatial,3,"car interaction,home,work"
62975,17:29:35,pt_transfer_agent_36,pt,pt,306889.24316389597,2769507.501452727,8,in_leg,,Red,377_1221_DN,,,,,,,3,"home,pt interaction,work"
62978,17:29:38,pt_transfer_agent_31,pt,pt,303005.8369462234,2768997.13486707,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
62979,17:29:39,car_agent_81,walk,walk,300257.27784582163,2780453.164611011,5,in_leg,,,,,car interaction,1,2120,0.004829113584961857,spatial,3,"car interaction,home,work"
62979,17:29:39,pt_transfer_agent_35,pt,pt,302561.42342590576,2768142.120556191,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
62980,17:29:40,pt_transfer_agent_36,pt,pt,306921.43210709875,2769506.4674449167,8,in_leg,,Red,377_1221_DN,,,,,,,3,"home,pt interaction,work"
62983,17:29:43,pt_transfer_agent_31,pt,pt,302992.9603049053,2768971.4320284873,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
62984,17:29:44,car_agent_81,walk,walk,300261.07320485136,2780456.1505091754,5,in_leg,,,,,car interaction,1,2120,0.009658227169635792,spatial,3,"car interaction,home,work"
62984,17:29:44,pt_transfer_agent_35,pt,pt,302549.5121967947,2768119.8249534653,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
62985,17:29:45,pt_transfer_agent_36,pt,pt,306953.62105030153,2769505.433437107,8,in_leg,,Red,377_1221_DN,,,,,,,3,"home,pt interaction,work"
62988,17:29:48,car_agent_81,walk,walk,300264.8685638811,2780459.1364073404,5,in_leg,,,,,car interaction,1,2120,0.01448734075459765,spatial,3,"car interaction,home,work"
62988,17:29:48,pt_transfer_agent_31,pt,pt,302980.0836635872,2768945.729189905,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
62989,17:29:49,pt_transfer_agent_35,pt,pt,302537.60096768365,2768097.5293507394,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
62990,17:29:50,pt_transfer_agent_36,pt,pt,306985.8099935043,2769504.399429297,8,in_leg,,Red,377_1221_DN,,,,,,,3,"home,pt interaction,work"
62992,17:29:52,pt_transfer_agent_31,pt,pt,302967.2070222692,2768920.026351323,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
62993,17:29:53,car_agent_81,walk,walk,300268.6639229108,2780462.1223055054,5,in_leg,,,,,home,0,2120,0.01448734075459765,spatial,3,"car interaction,home,work"
62994,17:29:54,pt_transfer_agent_35,pt,pt,302525.6897385726,2768075.233748014,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
62995,17:29:55,pt_transfer_agent_36,pt,pt,307017.99893670704,2769503.3654214875,8,in_leg,,Red,377_1221_DN,,,,,,,3,"home,pt interaction,work"
62997,17:29:57,car_agent_81,walk,walk,300272.45928194054,2780465.1082036705,5,in_leg,,,,,home,0,2120,0.009658227169635792,spatial,3,"car interaction,home,work"
62997,17:29:57,pt_transfer_agent_31,pt,pt,302954.3303809511,2768894.3235127404,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
62999,17:29:59,pt_transfer_agent_35,pt,pt,302513.77850946155,2768052.9381452883,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
63000,17:30:00,pt_agent_16,walk,walk,303763.41,2771719.82,3,in_leg,,,,,work,3,102932,0.0,spatial,3,"home,pt interaction,work"
63000,17:30:00,pt_transfer_agent_36,pt,pt,307050.1878799098,2769502.331413678,8,in_leg,,Red,377_1221_DN,,home,0,142285,0.4830812148542814,spatial,3,"home,pt interaction,work"
63001,17:30:01,pt_agent_16,walk,walk,303763.41540546075,2771719.823223702,3,in_leg,,,,,pt interaction,2,pt_G15_UP,0.0,spatial,3,"home,pt interaction,work"
63001,17:30:01,pt_agent_16,pt,pt,303763.41540546075,2771719.823223702,4,in_leg,,Green,183_6441_DN,,pt interaction,2,pt_G15_UP,0.0,spatial,3,"home,pt interaction,work"
63002,17:30:02,car_agent_81,walk,walk,300276.25464097026,2780468.094101835,5,in_leg,,,,,home,0,2120,0.004829113584961857,spatial,3,"car interaction,home,work"
63002,17:30:02,pt_transfer_agent_31,pt,pt,302941.453739633,2768868.620674158,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
63004,17:30:04,pt_transfer_agent_35,pt,pt,302501.8672803505,2768030.6425425624,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
