pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	32	31	8	7	4	0	0	0	0	0	0	0	0
car interaction---education	12	0	0	0	0	0	0	0	0	0	0	0	1
car interaction---home	23	0	1	0	0	0	1	0	0	0	0	0	1
car interaction---leisure	13	0	0	1	0	0	1	0	0	0	0	0	0
car interaction---shop	12	0	0	0	0	0	1	0	0	0	0	0	2
car interaction---work	12	0	0	0	0	0	1	0	0	0	0	0	0
education---car interaction	11	0	0	0	0	0	0	0	0	0	0	0	1
education---motorcycle interaction	6	0	0	0	0	0	1	0	0	0	0	0	0
education---pt interaction	20	1	1	0	0	0	0	0	0	0	0	0	0
education---shop	0	0	0	0	0	1	1	0	1	0	1	0	2
education---work	2	0	0	0	0	0	0	0	1	0	1	0	1
home---car interaction	26	0	1	0	0	0	1	0	0	0	0	0	1
home---education	0	1	0	1	0	0	0	0	0	0	0	0	2
home---leisure	1	0	0	0	1	1	1	1	0	0	1	0	2
home---motorcycle interaction	9	0	1	0	0	1	1	0	0	0	0	0	1
home---pt interaction	43	5	2	0	0	0	0	1	0	0	0	0	0
home---shop	1	0	1	0	1	0	0	0	0	0	0	0	2
home---work	0	0	0	1	0	0	2	2	0	0	0	0	5
leisure---car interaction	13	0	0	1	0	0	1	0	0	0	0	0	1
leisure---education	0	0	0	0	0	0	1	0	0	0	0	0	0
leisure---home	0	0	0	2	0	1	0	0	0	0	1	0	4
leisure---motorcycle interaction	8	0	0	2	0	0	1	0	0	0	0	0	0
leisure---pt interaction	25	6	2	0	0	0	0	0	0	0	0	0	0
leisure---shop	2	0	0	0	1	0	0	0	0	0	0	0	1
leisure---work	0	0	0	1	0	0	0	0	0	0	1	0	1
motorcycle interaction---education	6	0	0	0	0	0	0	0	0	0	0	0	0
motorcycle interaction---home	10	0	1	0	0	1	2	0	0	0	0	0	0
motorcycle interaction---leisure	8	0	0	2	0	0	1	0	0	0	0	0	0
motorcycle interaction---motorcycle interaction	12	18	6	6	0	0	0	0	0	0	0	0	0
motorcycle interaction---shop	2	0	0	0	0	0	0	0	0	0	0	0	0
motorcycle interaction---work	7	1	0	0	0	0	0	0	0	0	0	0	1
pt interaction---education	21	2	1	0	0	0	0	0	0	0	0	0	0
pt interaction---home	43	7	2	0	0	0	0	1	0	0	0	0	0
pt interaction---leisure	24	7	1	1	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	36	56	93	17	19	14	11	7	4	2	1	0	0
pt interaction---shop	25	3	1	0	0	0	0	0	0	0	0	0	0
pt interaction---work	26	7	2	2	0	0	0	0	0	0	0	0	0
shop---car interaction	12	0	0	0	0	0	1	0	0	0	0	0	1
shop---education	1	0	0	0	0	0	0	0	0	0	0	0	2
shop---home	0	0	0	1	0	2	0	0	0	1	0	0	2
shop---leisure	1	0	0	0	0	0	0	0	0	1	0	1	1
shop---motorcycle interaction	3	0	0	0	0	0	0	0	0	0	0	0	0
shop---pt interaction	27	5	2	0	0	0	0	0	0	0	0	0	0
shop---work	0	0	0	0	0	1	0	0	0	0	0	0	1
work---car interaction	13	0	0	0	0	0	1	0	0	0	0	0	0
work---education	0	0	0	0	0	0	0	0	1	0	0	0	0
work---home	0	1	0	0	0	2	1	1	0	1	0	0	3
work---leisure	0	0	0	0	1	1	2	0	0	0	0	0	1
work---motorcycle interaction	7	1	0	0	0	0	0	0	0	0	0	0	1
work---pt interaction	29	7	0	0	0	0	0	0	0	0	0	0	0
work---shop	2	1	0	0	0	2	0	0	0	0	0	0	0

average leg duration: 698.6490250696379 seconds = 00:11:38
