pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	37	40	18	8	3	0	0	0	0	0	0	0	0
car interaction---education	14	0	0	0	0	0	0	0	0	0	0	0	1
car interaction---home	28	0	0	0	0	0	2	0	0	0	0	0	2
car interaction---leisure	20	0	0	0	0	0	1	0	0	0	0	0	1
car interaction---shop	17	0	0	0	0	0	2	0	0	0	0	0	2
car interaction---work	15	0	0	0	0	0	1	0	0	0	0	0	0
education---car interaction	15	0	0	0	0	0	0	0	0	0	0	0	1
education---home	1	0	0	0	0	0	1	0	0	0	1	0	1
education---leisure	0	0	0	1	0	0	0	0	0	0	0	0	1
education---motorcycle interaction	4	0	0	0	0	0	1	0	0	0	0	0	0
education---pt interaction	11	2	3	0	0	0	0	0	0	0	0	0	0
education---shop	0	0	0	0	0	0	1	0	1	0	0	0	2
education---work	1	0	0	0	0	0	0	0	1	0	1	0	2
home---car interaction	34	0	0	0	0	0	2	0	0	0	0	0	3
home---education	0	1	0	1	0	1	0	0	0	0	0	0	2
home---leisure	2	0	0	0	0	1	0	1	1	0	1	0	1
home---motorcycle interaction	12	0	2	0	0	1	2	0	0	0	0	0	4
home---pt interaction	32	5	1	0	0	0	0	1	0	0	0	0	0
home---shop	1	0	0	0	1	0	0	0	0	0	0	0	3
home---work	0	0	0	0	0	1	1	0	0	0	0	0	2
leisure---car interaction	17	0	0	0	0	0	1	0	0	0	0	0	2
leisure---education	0	0	0	0	0	0	1	0	0	0	1	0	1
leisure---home	0	0	0	1	1	0	0	0	1	0	0	0	1
leisure---motorcycle interaction	15	0	0	3	0	0	1	0	0	0	0	0	1
leisure---pt interaction	15	4	3	0	0	0	0	0	0	0	0	0	0
leisure---shop	2	0	0	0	1	0	0	0	0	0	0	0	1
leisure---work	0	0	0	0	0	0	1	0	0	0	0	0	1
motorcycle interaction---education	3	0	0	0	0	0	0	0	0	0	0	0	0
motorcycle interaction---home	12	0	2	0	0	1	3	0	0	0	0	0	3
motorcycle interaction---leisure	15	0	0	3	0	0	1	0	0	0	0	0	1
motorcycle interaction---motorcycle interaction	23	18	12	11	1	0	0	0	0	0	0	0	0
motorcycle interaction---shop	4	0	0	0	0	0	1	0	0	0	0	0	0
motorcycle interaction---work	14	1	0	0	0	0	0	0	0	0	0	0	1
pt interaction---education	15	3	1	0	0	0	0	0	0	0	0	0	0
pt interaction---home	31	6	1	0	0	0	0	1	0	0	0	0	0
pt interaction---leisure	13	6	2	1	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	27	59	82	11	12	11	4	2	3	0	1	0	0
pt interaction---shop	17	3	3	0	0	0	0	0	0	0	0	0	0
pt interaction---work	23	6	3	1	0	0	0	0	0	0	0	0	0
shop---car interaction	18	0	0	0	0	0	2	0	0	0	0	0	1
shop---education	1	0	0	0	0	1	0	0	0	0	0	0	2
shop---home	0	1	0	1	0	1	0	0	0	0	0	0	3
shop---leisure	1	0	0	0	0	0	0	0	0	0	0	0	0
shop---motorcycle interaction	4	0	0	0	0	0	1	0	0	0	0	0	0
shop---pt interaction	17	6	4	0	0	0	0	0	0	0	0	0	0
shop---work	0	0	0	0	0	0	0	0	0	0	0	0	1
work---car interaction	15	0	0	0	0	0	1	0	0	0	0	0	0
work---education	0	0	0	0	0	0	0	0	0	0	0	1	2
work---home	0	0	0	0	0	2	1	0	0	1	0	0	2
work---leisure	0	0	0	0	0	0	0	0	0	0	0	0	1
work---motorcycle interaction	14	1	0	0	0	0	0	0	0	0	0	0	1
work---pt interaction	26	6	0	0	0	0	0	0	0	0	0	0	0
work---shop	1	1	0	0	0	0	0	0	0	0	0	0	1

average leg duration: 738.790546802595 seconds = 00:12:18
