pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	38	38	13	11	3	1	0	0	0	0	0	0	0
car interaction---education	15	0	0	0	0	0	0	0	0	0	0	0	1
car interaction---home	26	0	1	0	0	0	2	0	0	0	0	0	1
car interaction---leisure	14	0	0	1	0	0	1	0	0	0	0	0	1
car interaction---shop	17	0	0	0	0	0	2	0	0	0	0	0	2
car interaction---work	18	0	0	0	0	0	1	0	0	0	0	0	1
education---car interaction	15	0	0	0	0	0	0	0	0	0	0	0	1
education---home	1	0	0	0	0	0	2	0	0	0	0	0	2
education---leisure	0	0	0	1	0	0	0	0	0	0	0	0	1
education---motorcycle interaction	3	0	0	0	0	0	0	0	0	0	0	0	0
education---pt interaction	17	2	1	0	0	0	0	0	0	0	0	0	0
education---shop	0	0	0	0	0	0	1	0	1	0	1	0	1
home---car interaction	32	0	1	0	0	0	2	0	0	0	0	0	2
home---education	0	0	0	1	0	0	1	0	0	0	0	0	3
home---leisure	2	0	0	0	1	1	0	1	0	0	0	0	5
home---motorcycle interaction	12	0	1	0	0	1	1	0	0	0	0	0	2
home---pt interaction	32	7	2	0	0	0	0	0	0	0	0	0	0
home---shop	0	0	0	0	1	0	0	0	0	0	0	0	2
home---work	0	0	0	0	0	0	1	2	0	0	0	0	4
leisure---car interaction	15	0	0	1	0	0	1	0	0	0	0	0	2
leisure---education	0	0	0	0	0	0	0	0	0	0	0	0	1
leisure---home	0	0	0	3	0	0	0	0	0	2	0	0	3
leisure---motorcycle interaction	11	0	0	2	0	0	0	0	0	0	0	0	0
leisure---pt interaction	16	5	2	0	0	0	0	0	0	0	0	0	0
leisure---shop	2	0	0	0	1	0	1	0	0	0	0	1	2
leisure---work	0	0	0	1	0	0	2	0	0	0	0	0	1
motorcycle interaction---education	3	0	0	0	0	0	0	0	0	0	0	0	0
motorcycle interaction---home	12	0	1	0	0	1	1	0	0	0	0	0	1
motorcycle interaction---leisure	10	0	0	2	0	0	0	0	0	0	0	0	0
motorcycle interaction---motorcycle interaction	13	24	6	5	0	0	0	0	0	0	0	0	0
motorcycle interaction---shop	2	0	0	0	0	0	0	0	0	0	0	0	1
motorcycle interaction---work	13	1	0	0	0	0	0	0	0	0	0	0	0
pt interaction---education	19	3	0	0	0	0	0	0	0	0	0	0	0
pt interaction---home	31	9	3	0	0	0	0	0	0	0	0	0	0
pt interaction---leisure	16	6	2	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	33	45	77	14	12	12	9	6	3	2	1	0	0
pt interaction---shop	21	4	1	0	0	0	0	0	0	0	0	0	0
pt interaction---work	24	5	0	2	0	0	0	0	0	0	0	0	0
shop---car interaction	16	0	0	0	0	0	2	0	0	0	0	0	1
shop---education	0	0	0	0	0	0	0	0	0	0	0	0	1
shop---home	0	0	0	1	0	1	0	0	0	0	0	0	1
shop---leisure	1	0	0	2	0	0	0	1	0	1	0	0	0
shop---motorcycle interaction	3	0	0	0	0	0	0	0	0	0	0	0	1
shop---pt interaction	22	5	4	0	0	0	0	0	0	0	0	0	0
shop---work	0	0	0	0	0	2	1	0	0	0	0	0	0
work---car interaction	17	0	0	0	0	0	1	0	0	0	0	0	1
work---education	0	0	0	0	0	0	0	0	0	0	0	1	1
work---home	0	1	0	0	0	1	0	1	1	0	0	0	2
work---leisure	0	0	0	0	2	0	0	0	0	0	2	0	1
work---motorcycle interaction	13	1	0	0	0	0	0	0	0	0	0	0	0
work---pt interaction	26	5	0	0	0	0	0	0	0	0	0	0	0
work---shop	1	0	0	1	0	0	0	0	0	0	0	0	0

average leg duration: 730.4421252371917 seconds = 00:12:10
