stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,stop_x_EPSG3826,stop_y_EPSG3826
BL23_DN,BL23,南港展覽館-下行月臺(板南線),板南線,25.054919,121.616861,,,0,031,Asia/Taipei,1,二,312239.017,2772002.405
033,G01,新店,松山新店線,24.95761,121.53746,,,1,,Asia/Taipei,1,,304270.325,2761189.791
G01_UP,G01,新店-上行月臺(松山新店線),松山新店線,24.95761,121.53746,,,0,033,Asia/Taipei,1,一,304270.325,2761189.791
034,G02,新店區公所,松山新店線,24.96744,121.5413,,,1,,Asia/Taipei,1,,304653.737,2762280.146
G02_UP,G02,新店區公所-上行月臺(松山新店線),松山新店線,24.96744,121.5413,,,0,034,Asia/Taipei,1,一,304653.737,2762280.146
035,G03,七張,松山新店線,24.97545,121.542985,,,1,,Asia/Taipei,1,,304820.321,2763168.05
G03_UP,G03,七張-上行月臺(松山新店線),松山新店線,24.97545,121.542985,,,0,035,Asia/Taipei,1,一,304820.321,2763168.05
036,G04Y07,大坪林,松山新店線/環狀線,24.9827205,121.54134,,,1,,Asia/Taipei,1,,304651.023,2763972.701
G04_UP,G04,大坪林-上行月臺(松山新店線),松山新店線,24.9827205,121.54134,,,0,036,Asia/Taipei,1,一,304651.023,2763972.701
037,G05,景美,松山新店線,24.992824,121.5406975,,,1,,Asia/Taipei,1,,304581.697,2765091.555
G05_UP,G05,景美-上行月臺(松山新店線),松山新店線,24.992824,121.5406975,,,0,037,Asia/Taipei,1,一,304581.697,2765091.555
038,G06,萬隆,松山新店線,25.001978,121.539008,,,1,,Asia/Taipei,1,,304407.113,2766104.818
G06_UP,G06,萬隆-上行月臺(松山新店線),松山新店線,25.001978,121.539008,,,0,038,Asia/Taipei,1,一,304407.113,2766104.818
039,G07,公館,松山新店線,25.014781,121.534358,,,1,,Asia/Taipei,1,,303932.145,2767521.084
G07_UP,G07,公館-上行月臺(松山新店線),松山新店線,25.014781,121.534358,,,0,039,Asia/Taipei,1,一,303932.145,2767521.084
040,G08,台電大樓,松山新店線,25.020733,121.5281435,,,1,,Asia/Taipei,1,,303302.341,2768177.899
G08_UP,G08,台電大樓-上行月臺(松山新店線),松山新店線,25.020733,121.5281435,,,0,040,Asia/Taipei,1,一,303302.341,2768177.899
041,G09O05,古亭,松山新店線/中和新蘆線,25.026373,121.522868,,,1,,Asia/Taipei,1,,302767.496,2768800.549
G09_UP,G09,古亭-上行月臺(松山新店線),松山新店線,25.026373,121.522868,,,0,041,Asia/Taipei,1,一,302767.496,2768800.549
O05_UP,O05,古亭-上行月臺(中和新蘆線),中和新蘆線,25.026373,121.522868,,,0,041,Asia/Taipei,1,二,302767.496,2768800.549
O05_DN,O05,古亭-下行月臺(中和新蘆線),中和新蘆線,25.026373,121.522868,,,0,041,Asia/Taipei,1,四,302767.496,2768800.549
042,G10R08,中正紀念堂,松山新店線/淡水信義線,25.032767,121.518273,,,1,,Asia/Taipei,1,,302301.052,2769506.999
G10_UP,G10,中正紀念堂-上行月臺(松山新店線),松山新店線,25.032767,121.518273,,,0,042,Asia/Taipei,1,二,302301.052,2769506.999
R08_DN,R08,中正紀念堂-下行月臺(淡水信義線),淡水信義線,25.032767,121.518273,,,0,042,Asia/Taipei,1,三,302301.052,2769506.999
043,G11,小南門,松山新店線,25.035585,121.51088,,,1,,Asia/Taipei,1,,301553.804,2769816.3
G11_UP,G11,小南門-上行月臺(松山新店線),松山新店線,25.035585,121.51088,,,0,043,Asia/Taipei,1,一,301553.804,2769816.3
105,G13,北門,松山新店線,25.049554,121.510184,,,1,,Asia/Taipei,1,,301477.736,2771363.316
G13_UP,G13,北門-上行月臺(松山新店線),松山新店線,25.049554,121.510184,,,0,105,Asia/Taipei,1,一,301477.736,2771363.316
053,R11G14,中山,松山新店線/淡水信義線,25.052621,121.520364,,,1,,Asia/Taipei,1,,302503.613,2771706.945
G14_UP,G14,中山-上行月臺(松山新店線),松山新店線,25.052621,121.520364,,,0,053,Asia/Taipei,1,三,302503.613,2771706.945
R11_DN,R11,中山-下行月臺(淡水信義線),淡水信義線,25.052621,121.520364,,,0,053,Asia/Taipei,1,二,302503.613,2771706.945
132,G15O08,松江南京,松山新店線/中和新蘆線,25.052693,121.53285,,,1,,Asia/Taipei,1,,303763.415,2771719.823
G15_UP,G15,松江南京-上行月臺(松山新店線),松山新店線,25.052693,121.53285,,,0,132,Asia/Taipei,1,一,303763.415,2771719.823
