pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	45	44	9	14	8	0	0	0	0	0	0	0	0
car interaction---education	20	0	0	0	0	0	1	0	0	0	0	0	1
car interaction---home	30	0	0	0	0	0	1	0	0	0	0	0	3
car interaction---leisure	23	0	0	0	0	0	1	0	0	0	0	0	1
car interaction---shop	20	0	0	0	0	0	0	0	0	0	0	0	3
car interaction---work	13	0	0	0	0	0	1	0	0	0	0	0	2
education---car interaction	20	0	0	0	0	0	1	0	0	0	0	0	1
education---home	0	0	0	0	1	0	0	1	0	0	0	1	3
education---leisure	1	0	0	2	0	0	0	0	0	0	0	1	2
education---pt interaction	22	3	1	0	0	0	0	0	0	0	0	0	0
education---shop	1	1	1	0	0	0	0	0	0	0	0	0	0
education---work	1	0	0	0	0	0	0	0	0	0	0	0	3
home---car interaction	33	0	0	0	0	0	3	0	0	0	0	0	3
home---education	0	0	0	0	0	0	0	1	0	2	0	1	1
home---leisure	1	0	0	1	0	0	0	1	1	0	0	0	1
home---pt interaction	39	4	1	0	0	0	0	0	0	0	0	0	0
home---shop	0	0	0	0	0	0	1	1	0	0	0	0	0
home---work	1	0	0	0	0	0	0	0	0	0	0	0	4
leisure---car interaction	24	0	0	0	0	0	1	0	0	0	0	0	1
leisure---education	1	0	0	0	0	0	0	0	0	0	0	0	1
leisure---home	0	0	0	2	0	1	0	0	0	0	1	0	8
leisure---pt interaction	28	3	0	0	0	0	0	0	0	0	0	0	0
leisure---shop	0	0	0	1	0	1	1	0	0	0	0	0	0
leisure---work	2	0	0	0	0	0	2	1	0	0	0	0	2
pt interaction---education	27	5	2	0	0	0	0	0	0	0	0	0	0
pt interaction---home	21	3	1	1	0	0	0	0	0	0	0	0	0
pt interaction---leisure	30	6	1	1	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	30	62	79	20	13	22	8	8	2	2	0	0	0
pt interaction---shop	29	3	0	1	0	0	0	0	0	0	0	0	0
pt interaction---work	25	4	2	0	0	0	0	0	0	0	0	0	0
shop---car interaction	19	0	0	0	0	0	0	0	0	0	0	0	3
shop---education	1	0	0	1	0	0	0	1	0	0	0	0	1
shop---home	0	0	0	2	0	1	0	0	0	0	0	0	5
shop---leisure	0	0	1	0	0	0	0	0	0	1	0	0	1
shop---pt interaction	26	4	0	0	0	0	0	0	0	0	0	0	0
shop---work	0	0	0	0	1	0	0	0	0	0	0	0	0
work---car interaction	13	0	0	0	0	0	0	0	0	0	0	0	2
work---home	0	0	1	0	1	1	1	0	0	0	1	0	4
work---leisure	1	0	0	0	0	0	0	0	0	0	0	0	3
work---pt interaction	21	6	4	0	0	0	0	0	0	0	0	0	0
work---shop	0	0	0	0	0	0	1	0	0	1	0	0	3

average leg duration: 794.1177042801556 seconds = 00:13:14
