stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station
THB252594,仁寶大樓,25.07945,121.56848,THB252594,0,
THB253341,三洋,25.030268,121.426655,THB253341,0,
THB253393,士林區行政中心(基河),25.092938,121.520414,THB253393,0,
THB253502,玉成國小,25.05437,121.59251,THB253502,0,
THB253558,汐止,25.06907,121.66155,THB253558,0,
THB253559,汐科站南站,25.06303,121.64701,THB253559,0,
THB253592,台北君悅酒店,25.03567,121.56292,THB253592,0,
THB253681,汐止國中,25.0670276,121.6570504,THB253681,0,
THB253683,汐止國小,25.0663,121.65495,THB253683,0,
THB253686,福二街口,25.081804,121.696852,THB253686,0,
THB253687,福二街口,25.08192,121.69671,THB253687,0,
THB253843,八德東寧路口,25.048834,121.564607,THB253843,0,
THB253869,光復路口,25.04801,121.55684,THB253869,0,
THB253947,八德東寧路口,25.048889,121.563889,THB253947,0,
THB254038,保長坑,25.071295,121.679147,THB254038,0,
THB254049,南港,25.055443,121.613561,THB254049,0,
THB254112,板橋客運站,25.015449,121.465259,THB254112,0,
THB254113,松山農會,25.049918,121.57354,THB254113,0,
THB254115,武功國小(羅斯福),25.0029,121.53884,THB254115,0,
THB254116,武功國小(羅斯福),25.00312,121.538566,THB254116,0,
THB254154,南港輪胎,25.053503,121.600452,THB254154,0,
THB254155,南港輪胎,25.05334,121.60052,THB254155,0,
THB254194,美仁里,25.048075,121.554732,THB254194,0,
THB254217,師大分部,25.0078,121.53852,THB254217,0,
THB254273,堵南里(百福車站),25.07779,121.69227,THB254273,0,
THB254275,崇義高中(五堵車站),25.07747,121.6679,THB254275,0,
THB254306,昊天嶺,25.06202,121.64446,THB254306,0,
THB254307,昊天嶺,25.062111,121.64547,THB254307,0,
THB254331,板橋客運站,25.01551,121.46511,THB254331,0,
THB254333,松山車站(八德),25.04997,121.57678,THB254333,0,
THB254334,松山車站(八德),25.050172,121.577266,THB254334,0,
THB254335,松山磚廠,25.052662,121.584935,THB254335,0,
THB254342,治磐新村,25.08294,121.56378,THB254342,0,
THB254343,盲人重建院,25.034116,121.443389,THB254343,0,
THB254381,南港,25.05515,121.6136,THB254381,0,
THB254386,南港路三段,25.052899,121.587871,THB254386,0,
THB254435,治磐新村,25.08306,121.5641,THB254435,0,
THB254463,保安里,25.07315,121.67515,THB254463,0,
THB254464,保長坑,25.071031,121.68013,THB254464,0,
THB254583,崇義高中(五堵車站),25.07695,121.66757,THB254583,0,
THB254604,捷運南港展覽館站(南港路),25.055191,121.617305,THB254604,0,
THB254678,海山里,25.034451,121.444866,THB254678,0,
THB254740,美仁里,25.04826,121.55374,THB254740,0,
THB254782,泰北中學,25.097714,121.534022,THB254782,0,
THB254829,監理站,25.08817,121.69764,THB254829,0,
THB254830,堵南里(百福車站),25.078138,121.691827,THB254830,0,
THB254899,景美里,25.17201879,121.6843629,THB254899,0,
THB254931,圓山飯店,25.076542,121.52576,THB254931,0,
THB254962,捷運忠孝復興站,25.040819,121.543552,THB254962,0,
THB255379,福華飯店,25.03731,121.54354,THB255379,0,
THB255406,捷運劍南路站,25.084437,121.554872,THB255406,0,
THB255479,晶華酒店,25.05413,121.52283,THB255479,0,
THB255517,瑞光路,25.07473,121.57751,THB255517,0,
THB255564,福林國小,25.09593,121.52898,THB255564,0,
THB255571,聚盛里,25.05884,121.52554,THB255571,0,
THB255581,瑞光港墘路口,25.078406,121.570426,THB255581,0,
THB255582,瑞光港墘路口,25.077295,121.573112,THB255582,0,
THB255617,台肥新村,25.053716,121.603167,THB255617,0,
THB255618,臺視,25.048272,121.549744,THB255618,0,
THB255739,樟樹灣,25.05939,121.63822,THB255739,0,
THB255749,橫科,25.054876,121.621428,THB255749,0,
THB255750,橫科,25.05511,121.62115,THB255750,0,
THB255928,光復路口,25.0481687713645,121.556821466484,THB255928,0,
THB255979,亞太科技園區,25.07311,121.68354,THB255979,0,
THB256064,橫科,25.05487,121.62139,THB256064,0,
THB256110,聯合報總部,25.06098,121.64197,THB256110,0,
THB256280,汐止國小,25.066362,121.654649,THB256280,0,
THB256281,百福國中,25.08293,121.69914,THB256281,0,
THB256438,臺安醫院,25.0481049,121.5466398,THB256438,0,
THB256469,玉成里,25.050764,121.580689,THB256469,0,
THB256470,玉成國小,25.05408,121.59183,THB256470,0,
THB256552,捷運中山國中站,25.06133,121.54398,THB256552,0,
THB256575,中崙,25.0472969,121.5429922,THB256575,0,
THB256602,仁寶大樓,25.07914,121.5688,THB256602,0,
THB256638,汐科站北站,25.06409,121.65222,THB256638,0,
THB256639,汐科站北站,25.065048,121.653199,THB256639,0,
THB256678,台北君悅酒店,25.03531,121.56335,THB256678,0,
THB256793,南港展覽館,25.05534,121.61565,THB256793,0,
THB256826,捷運科技大樓站,25.02611,121.54368,THB256826,0,
THB256831,建國錦州街口,25.06065,121.53674,THB256831,0,
THB256890,國賓飯店,25.05615,121.52292,THB256890,0,
THB256895,基隆市界(明德三路),25.07543,121.68542,THB256895,0,
THB256993,捷運科技大樓站,25.026839,121.543293,THB256993,0,
THB257072,萬華車站,25.03289,121.50085,THB257072,0,
THB257126,臺視,25.0481,121.55117,THB257126,0,
THB257128,遠東科技中心,25.06394,121.65061,THB257128,0,
THB257430,基隆市界(基金三路),25.16196,121.68919,THB257430,0,
THB257493,酒泉重慶路口,25.07336,121.51373,THB257493,0,
THB257528,捷運公館站,25.01309,121.53612,THB257528,0,
THB257531,捷運南港展覽館站(南港路),25.054829,121.61818,THB257531,0,
THB257756,樟樹灣,25.05912,121.63838,THB257756,0,
THB257896,汐科站南站,25.062864,121.647659,THB257896,0,
THB257915,行天宮,25.064417,121.533082,THB257915,0,
THB258004,松山農會,25.050057,121.573751,THB258004,0,
THB258020,長安里,25.07605,121.67318,THB258020,0,
THB258036,保安里,25.073545,121.675117,THB258036,0,
THB258163,基隆市界(明德三路),25.075655,121.685368,THB258163,0,
THB258371,仁愛新村,25.00004,121.45829,THB258371,0,
THB258574,瑞光路,25.07479,121.57772,THB258574,0,
THB258644,台泥大樓(馬偕醫院),25.06064,121.52285,THB258644,0,
THB258645,台肥新村,25.05389,121.603639,THB258645,0,
THB258650,遠東國際飯店,25.02656,121.54927,THB258650,0,
THB258735,藍天麗地社區,25.15457,121.69672,THB258735,0,
THB258765,汐止公園,25.067807,121.659969,THB258765,0,
THB258865,松山磚廠,25.052518,121.58517,THB258865,0,
THB258892,長安里,25.07631,121.67318,THB258892,0,
THB258916,南港路三段,25.053124,121.58788,THB258916,0,
THB258986,泰北中學,25.09714,121.53329,THB258986,0,
THB259030,國賓飯店,25.05645,121.52263,THB259030,0,
THB259033,基隆路口,25.04938,121.56835,THB259033,0,
THB259053,捷運南港展覽館站(南港路),25.055191,121.617315,THB259053,0,
THB259193,亞太科技園區,25.07268,121.68296,THB259193,0,
THB259231,萬華車站,25.03306,121.500164,THB259231,0,
THB259302,摩天鎮,25.07484,121.68331,THB259302,0,
THB259348,聯合報總部,25.060885,121.642235,THB259348,0,
THB259413,鄉雲里,25.005072,121.459941,THB259413,0,
THB259750,進安公園,25.04608,121.53738,THB259750,0,
