pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	29	23	12	11	2	2	0	0	0	0	0	0	0
car interaction---education	14	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---home	20	0	0	0	0	0	2	0	0	0	0	0	1
car interaction---leisure	11	0	0	0	0	0	2	0	0	0	0	0	2
car interaction---shop	14	0	0	0	0	0	1	0	0	0	0	0	1
car interaction---work	8	0	0	0	0	0	1	0	0	0	0	0	2
education---car interaction	12	0	0	0	0	0	1	0	0	0	0	0	0
education---home	2	0	0	1	0	0	2	0	0	0	0	0	2
education---leisure	0	0	0	0	0	0	0	0	0	0	1	0	0
education---pt interaction	19	2	1	0	0	0	0	0	0	0	0	0	0
education---shop	0	0	0	0	0	0	1	0	0	0	0	0	2
education---work	2	0	0	0	0	0	0	0	1	0	0	0	3
home---car interaction	26	0	0	0	0	0	1	0	0	0	0	0	1
home---education	0	1	0	0	0	0	0	0	0	0	0	0	0
home---leisure	3	0	0	0	1	0	1	0	1	0	0	0	2
home---pt interaction	42	5	0	0	0	0	0	0	0	0	0	0	0
home---shop	1	0	2	0	1	0	1	0	0	0	0	0	5
home---work	0	0	0	0	0	0	2	1	0	1	0	0	2
leisure---car interaction	12	0	0	0	0	0	2	0	0	0	0	0	2
leisure---education	0	0	0	0	0	1	0	0	0	0	1	0	2
leisure---home	0	0	0	0	1	0	0	0	1	0	0	0	1
leisure---pt interaction	22	2	4	0	0	0	0	0	0	0	0	0	0
leisure---shop	3	0	0	0	1	0	0	0	0	1	0	0	0
leisure---work	0	0	0	1	0	0	0	0	0	0	1	0	0
pt interaction---education	22	2	2	0	0	0	0	0	0	0	0	0	0
pt interaction---home	39	7	2	0	0	0	0	0	0	0	0	0	0
pt interaction---leisure	22	3	1	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	39	49	93	16	18	13	5	5	3	1	1	0	0
pt interaction---shop	20	5	3	0	0	0	0	0	0	0	0	0	0
pt interaction---work	27	6	0	0	0	0	0	0	0	0	0	0	0
shop---car interaction	14	0	0	0	0	0	1	0	0	0	0	0	1
shop---education	1	0	0	0	0	0	0	0	0	0	0	1	4
shop---home	0	0	0	0	0	0	0	0	0	0	0	0	6
shop---leisure	1	0	0	2	0	0	0	1	0	0	1	0	1
shop---pt interaction	23	7	4	0	0	0	0	0	0	0	0	0	0
work---car interaction	8	0	0	0	0	0	1	0	0	0	0	0	2
work---education	0	0	0	0	0	0	0	0	0	0	0	1	0
work---home	0	1	0	0	0	1	2	1	0	1	0	0	2
work---leisure	0	0	0	0	0	0	0	0	0	0	0	0	2
work---pt interaction	25	5	0	0	0	0	0	0	0	0	0	0	0
work---shop	2	1	0	1	0	0	0	0	0	0	0	0	2

average leg duration: 812.728285077951 seconds = 00:13:32
