pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	22	20	6	8	0	0	0	0	0	0	0	0	0
car interaction---education	6	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---home	17	0	0	0	0	0	2	0	0	0	0	0	0
car interaction---leisure	9	0	0	0	0	0	2	0	0	0	0	0	0
car interaction---shop	6	0	0	0	0	0	0	0	0	0	0	0	1
car interaction---work	12	0	0	0	0	0	1	0	0	0	0	0	0
education---car interaction	6	0	0	0	0	0	0	0	0	0	0	0	0
education---home	1	0	0	1	0	1	1	0	0	0	0	0	0
education---leisure	0	0	0	1	0	0	0	0	0	0	0	0	0
education---motorcycle interaction	13	0	0	0	0	0	0	0	0	0	0	0	1
education---pt interaction	15	1	2	0	0	0	0	0	0	0	0	0	0
education---shop	0	0	0	0	0	1	0	0	0	0	0	0	2
education---work	0	0	0	0	0	1	0	0	0	0	0	0	2
home---car interaction	21	0	0	0	0	0	2	0	0	0	0	0	1
home---education	1	0	0	1	0	0	0	0	0	0	0	0	2
home---leisure	1	0	0	0	0	1	0	0	1	0	0	0	2
home---motorcycle interaction	17	0	1	0	0	2	3	0	0	0	0	0	3
home---pt interaction	39	3	2	0	0	0	0	0	0	0	0	0	0
home---shop	1	0	1	0	1	0	1	0	0	0	1	0	2
home---work	0	0	0	2	1	0	0	1	0	0	0	0	6
leisure---car interaction	8	0	0	0	0	0	2	0	0	0	0	0	1
leisure---education	0	0	0	0	0	1	0	0	0	0	0	0	1
leisure---home	0	0	0	3	0	0	0	0	1	0	2	0	4
leisure---motorcycle interaction	12	0	0	2	0	0	0	0	0	0	0	0	3
leisure---pt interaction	18	6	2	0	0	0	0	0	0	0	0	0	0
leisure---shop	2	0	0	0	1	0	0	0	0	0	0	0	2
leisure---work	0	0	0	2	0	0	0	0	0	0	0	0	0
motorcycle interaction---education	13	0	0	0	0	0	0	0	0	0	0	0	1
motorcycle interaction---home	13	0	1	0	0	2	3	0	0	0	0	0	2
motorcycle interaction---leisure	12	0	0	2	0	0	0	0	0	0	0	0	3
motorcycle interaction---motorcycle interaction	22	29	12	11	1	0	0	0	0	0	0	0	0
motorcycle interaction---shop	7	0	0	0	0	0	1	0	0	0	0	0	1
motorcycle interaction---work	11	2	0	0	0	0	0	0	0	0	0	0	1
pt interaction---education	17	1	1	0	0	0	0	0	0	0	0	0	0
pt interaction---home	37	6	1	0	0	0	0	0	0	0	0	0	0
pt interaction---leisure	17	4	3	1	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	31	44	85	21	15	10	10	5	4	1	1	0	0
pt interaction---shop	23	5	0	0	0	0	0	0	0	0	0	0	0
pt interaction---work	26	5	1	1	0	0	0	0	0	0	0	0	0
shop---car interaction	7	0	0	0	0	0	0	0	0	0	0	0	0
shop---education	1	0	0	0	0	0	0	0	0	0	0	0	1
shop---home	0	0	0	1	0	1	0	0	0	1	0	0	2
shop---leisure	1	0	0	2	0	0	0	2	0	0	1	0	0
shop---motorcycle interaction	8	0	0	0	0	0	1	0	0	0	0	0	1
shop---pt interaction	24	5	3	0	0	0	0	0	0	0	0	0	0
shop---work	0	0	0	0	0	2	0	0	0	0	0	0	0
work---car interaction	12	0	0	0	0	0	1	0	0	0	0	0	0
work---education	0	0	0	0	0	0	0	0	1	0	0	1	0
work---home	0	1	0	0	0	0	2	0	1	0	0	0	2
work---leisure	0	0	0	0	1	1	3	0	0	0	0	0	3
work---motorcycle interaction	11	2	0	0	0	0	0	0	0	0	0	0	1
work---pt interaction	24	5	0	0	0	0	0	0	0	0	0	0	0
work---shop	2	1	0	1	0	1	0	0	0	0	0	0	0

average leg duration: 748.8256611165524 seconds = 00:12:28
