pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	28	35	15	11	3	2	0	0	0	0	0	0	0
car interaction---education	13	0	0	0	0	0	1	0	0	0	0	0	1
car interaction---home	27	0	0	0	0	0	3	0	0	0	0	0	1
car interaction---leisure	17	0	0	0	0	0	1	0	0	0	0	0	2
car interaction---shop	13	0	0	0	0	0	2	0	0	0	0	0	2
car interaction---work	10	0	0	0	0	0	0	0	0	0	0	0	1
education---car interaction	16	0	0	0	0	0	2	0	0	0	0	0	1
education---home	1	0	0	0	0	0	1	0	0	0	0	0	0
education---leisure	0	0	0	1	0	0	0	0	0	0	0	0	1
education---pt interaction	15	2	2	0	0	0	0	0	0	0	0	0	0
education---shop	0	0	0	0	0	0	0	0	0	0	0	0	2
education---work	2	0	0	0	0	0	0	0	1	1	1	0	3
home---car interaction	30	0	0	0	0	0	2	0	0	0	0	0	2
home---education	1	1	0	1	0	1	0	0	1	0	0	0	2
home---leisure	2	0	0	0	1	1	0	0	1	0	1	0	1
home---pt interaction	36	5	1	0	0	0	0	0	0	0	0	0	0
home---shop	1	0	0	0	1	1	1	0	0	0	0	0	4
home---work	0	0	0	0	0	0	0	0	0	1	0	0	1
leisure---car interaction	17	0	0	0	0	0	1	0	0	0	0	0	2
leisure---education	0	0	0	0	0	1	1	0	0	0	0	0	0
leisure---home	0	0	0	0	1	0	0	0	1	0	0	0	4
leisure---pt interaction	15	1	4	0	0	0	0	0	0	0	0	0	0
leisure---shop	3	0	0	0	1	0	0	0	0	0	0	0	1
leisure---work	0	0	0	1	0	0	1	0	0	0	0	0	0
pt interaction---education	19	2	1	0	0	0	0	0	0	0	0	0	0
pt interaction---home	34	7	1	0	0	0	0	0	0	0	0	0	0
pt interaction---leisure	17	4	2	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	29	57	80	14	12	15	2	4	3	0	1	0	0
pt interaction---shop	20	3	4	0	0	0	0	0	0	0	0	0	0
pt interaction---work	26	5	2	0	0	0	0	0	0	0	0	0	0
shop---car interaction	13	0	0	0	0	0	2	0	0	0	0	0	2
shop---education	1	0	0	1	0	1	0	0	0	0	0	0	2
shop---home	0	1	0	0	0	1	0	0	0	0	0	0	3
shop---leisure	1	0	0	0	0	0	0	1	0	0	0	0	0
shop---pt interaction	23	6	5	0	0	0	0	0	0	0	0	0	0
shop---work	0	0	0	0	0	0	0	0	0	0	0	1	0
work---car interaction	10	0	0	0	0	0	0	0	0	0	0	0	1
work---education	0	0	0	0	0	0	0	0	0	0	0	1	0
work---home	0	0	0	0	0	3	0	0	0	1	0	0	3
work---leisure	0	0	0	0	0	0	0	0	0	0	0	0	1
work---pt interaction	27	5	0	0	0	0	0	0	0	0	0	0	0
work---shop	1	1	0	0	0	1	0	0	0	0	0	0	2

average leg duration: 795.5227272727273 seconds = 00:13:15
