pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	27	26	13	8	2	1	0	0	0	0	0	0	0
car interaction---education	11	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---home	22	0	0	0	0	0	2	0	0	0	0	0	0
car interaction---leisure	11	0	0	0	0	0	3	0	0	0	0	0	1
car interaction---shop	10	0	0	0	0	0	2	0	0	0	0	0	2
car interaction---work	11	0	0	0	0	0	1	0	0	0	0	0	1
education---car interaction	12	0	0	0	0	0	0	0	0	0	0	0	0
education---home	1	0	0	0	0	0	1	0	0	0	0	1	3
education---leisure	0	0	0	2	0	0	0	0	0	0	1	0	3
education---pt interaction	19	1	2	0	0	0	0	0	0	0	0	0	0
education---shop	0	0	0	0	0	0	1	0	1	0	1	0	0
education---work	1	0	0	0	0	0	0	0	0	0	0	0	1
home---car interaction	24	0	0	0	0	0	2	0	0	0	0	0	2
home---education	0	0	0	2	0	0	0	0	0	0	0	1	2
home---leisure	3	0	0	0	1	1	0	0	1	0	0	0	2
home---pt interaction	39	5	0	0	0	0	0	0	0	0	0	0	0
home---shop	1	0	1	1	1	1	1	0	0	0	0	0	3
home---work	0	0	0	0	0	1	1	0	0	0	1	1	2
leisure---car interaction	11	0	0	0	0	0	3	0	0	0	0	0	2
leisure---education	0	0	0	0	0	0	0	0	0	0	0	0	1
leisure---home	0	0	0	1	1	0	0	0	1	0	0	0	4
leisure---pt interaction	18	3	4	0	0	0	0	0	0	0	0	0	0
leisure---shop	2	0	0	0	1	0	0	0	0	0	0	0	2
leisure---work	0	0	0	1	0	0	1	0	0	0	0	0	0
pt interaction---education	21	2	2	0	0	0	0	0	0	0	0	0	0
pt interaction---home	38	8	1	0	0	0	0	0	0	0	0	0	0
pt interaction---leisure	17	3	1	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	31	50	91	19	13	10	8	7	2	1	2	0	0
pt interaction---shop	21	6	3	0	0	0	0	0	0	0	0	0	0
pt interaction---work	29	5	1	0	0	0	0	0	0	0	0	0	0
shop---car interaction	10	0	0	0	0	0	2	0	0	0	0	0	1
shop---education	1	0	0	0	0	1	0	0	0	0	0	1	2
shop---home	0	0	0	0	0	1	0	0	0	0	0	0	4
shop---leisure	1	0	0	2	0	0	0	1	0	1	0	0	0
shop---pt interaction	24	8	3	0	0	0	0	0	0	0	0	0	0
shop---work	0	0	0	0	0	1	0	0	0	0	1	1	0
work---car interaction	10	0	0	0	0	0	1	0	0	0	0	0	1
work---education	0	0	1	0	0	0	0	0	0	0	0	1	2
work---home	0	0	0	0	0	1	2	0	0	0	1	0	3
work---leisure	0	0	1	0	0	0	0	0	0	0	0	0	0
work---pt interaction	27	5	0	0	0	0	0	0	0	0	0	0	0
work---shop	2	1	0	1	0	0	0	0	0	0	0	0	1

average leg duration: 834.2056818181818 seconds = 00:13:54
