pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	31	31	12	12	3	1	0	0	0	0	0	0	0
car interaction---education	16	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---home	25	0	0	0	0	0	2	0	0	0	0	0	1
car interaction---leisure	11	0	0	0	0	0	3	0	0	0	0	0	3
car interaction---shop	11	0	0	0	0	0	2	0	0	0	0	0	2
car interaction---work	12	0	0	0	0	0	1	0	0	0	0	0	1
education---car interaction	15	0	0	0	0	0	0	0	0	0	0	0	0
education---home	2	0	0	0	0	1	1	0	0	0	0	0	1
education---leisure	0	0	0	1	0	0	0	0	0	0	1	0	1
education---pt interaction	18	2	2	0	0	0	0	0	0	0	0	0	0
education---shop	0	0	0	0	0	0	1	0	1	0	0	0	1
education---work	2	0	0	0	0	0	0	0	0	0	1	0	0
home---car interaction	30	0	0	0	0	0	2	0	0	0	0	0	2
home---education	0	0	0	1	0	0	0	0	0	0	0	0	1
home---leisure	2	0	0	0	1	0	1	0	0	0	1	0	1
home---pt interaction	40	7	0	0	0	0	0	0	0	0	0	0	0
home---shop	1	0	0	0	1	1	0	0	0	0	1	0	3
home---work	0	0	1	0	0	1	0	0	0	0	1	0	1
leisure---car interaction	10	0	0	0	0	0	3	0	0	0	0	0	3
leisure---education	0	0	0	0	0	1	1	0	0	0	0	0	1
leisure---home	1	0	0	1	1	0	0	0	1	0	0	0	1
leisure---pt interaction	21	3	3	0	0	0	0	0	0	0	0	0	0
leisure---shop	2	0	0	0	1	0	0	0	0	0	0	0	0
leisure---work	0	0	0	0	0	0	0	0	0	0	1	0	1
pt interaction---education	22	3	2	0	0	0	0	0	0	0	0	0	0
pt interaction---home	36	10	1	0	0	0	0	0	0	0	0	0	0
pt interaction---leisure	22	4	1	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	34	53	93	20	14	12	8	7	3	1	2	0	0
pt interaction---shop	26	5	3	0	0	0	0	0	0	0	0	0	0
pt interaction---work	30	5	1	0	0	0	0	0	0	0	0	0	0
shop---car interaction	11	0	0	0	0	0	2	0	0	0	0	0	2
shop---education	1	0	0	0	0	0	0	0	0	0	0	1	0
shop---home	0	0	0	1	0	1	0	0	0	1	0	0	2
shop---leisure	0	0	0	1	0	0	0	1	0	0	0	0	0
shop---pt interaction	28	8	5	0	0	0	0	0	0	0	0	0	0
shop---work	0	0	0	0	0	0	0	0	0	0	0	1	1
work---car interaction	12	0	0	0	0	0	1	0	0	0	0	0	1
work---education	0	0	0	0	0	0	0	0	0	0	0	1	0
work---home	0	0	0	0	0	3	0	0	0	0	1	0	2
work---leisure	0	0	0	0	0	0	0	0	0	1	0	0	0
work---pt interaction	29	5	0	0	0	0	0	0	0	0	0	0	0
work---shop	2	1	0	1	0	0	0	1	0	0	0	0	0

average leg duration: 673.1500535905681 seconds = 00:11:13
