pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	22	9	7	6	2	0	0	0	0	0	0	0	0
car interaction---education	6	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---home	9	0	0	0	0	0	1	0	0	0	0	0	3
car interaction---leisure	9	0	0	1	0	0	0	0	0	0	0	0	0
car interaction---shop	6	0	0	0	0	0	1	0	0	0	0	0	1
car interaction---work	9	0	0	0	0	0	0	0	0	0	0	0	0
education---car interaction	7	0	0	0	0	0	0	0	0	0	0	0	0
education---home	1	0	0	0	0	0	1	0	0	0	1	0	0
education---leisure	0	0	0	1	0	0	0	0	0	0	0	0	1
education---motorcycle interaction	14	0	0	0	0	0	0	0	0	0	0	0	0
education---pt interaction	17	1	1	0	0	0	0	0	0	0	0	0	0
education---shop	0	0	0	0	0	1	1	0	0	0	0	0	1
education---work	1	0	0	0	0	0	0	0	0	0	0	0	2
home---car interaction	16	0	0	0	0	0	1	0	0	0	0	0	4
home---education	1	0	0	0	0	0	0	0	0	0	0	0	2
home---leisure	1	0	0	0	0	1	0	0	1	0	0	1	1
home---motorcycle interaction	24	0	2	0	0	2	4	0	0	0	0	0	0
home---pt interaction	45	3	0	0	0	0	0	0	0	0	0	0	0
home---shop	1	0	1	0	1	0	0	0	0	0	0	0	2
home---work	0	0	0	0	0	0	1	0	0	0	0	0	5
leisure---car interaction	6	0	0	1	0	0	0	0	0	0	0	0	0
leisure---education	0	0	0	0	0	0	0	0	0	0	2	0	0
leisure---home	1	0	0	3	0	0	0	0	2	1	0	0	2
leisure---motorcycle interaction	15	0	0	2	0	0	1	0	0	0	0	0	1
leisure---pt interaction	16	8	6	0	0	0	0	0	0	0	0	0	0
leisure---shop	2	0	0	0	1	0	0	0	0	1	0	0	1
leisure---work	0	0	0	2	0	0	0	0	0	0	0	0	1
motorcycle interaction---education	17	0	0	0	0	0	0	0	0	0	0	0	0
motorcycle interaction---home	22	0	2	0	0	2	4	0	0	0	0	0	0
motorcycle interaction---leisure	15	0	0	2	0	0	1	0	0	0	0	0	1
motorcycle interaction---motorcycle interaction	31	43	21	9	1	0	0	0	0	0	0	0	0
motorcycle interaction---shop	14	0	0	0	0	0	1	0	0	0	0	0	3
motorcycle interaction---work	17	2	0	0	0	0	1	0	0	0	0	0	1
pt interaction---education	19	1	0	0	0	0	0	0	0	0	0	0	0
pt interaction---home	43	1	3	0	0	0	0	0	0	0	0	0	0
pt interaction---leisure	17	6	4	2	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	34	50	79	15	19	10	6	4	5	2	1	0	0
pt interaction---shop	16	5	0	0	0	0	0	0	0	0	0	0	0
pt interaction---work	25	7	4	0	0	0	0	0	0	0	0	0	0
shop---car interaction	5	0	0	0	0	0	1	0	0	0	0	0	1
shop---education	1	0	0	0	0	0	0	0	0	0	0	0	1
shop---home	0	0	0	0	1	1	0	0	0	1	0	0	4
shop---leisure	1	0	0	0	0	0	0	1	0	0	1	0	0
shop---motorcycle interaction	16	0	0	0	0	0	1	0	0	0	0	0	3
shop---pt interaction	17	6	2	0	0	0	0	0	0	0	0	0	0
shop---work	0	0	0	0	0	0	0	0	0	0	0	0	1
work---car interaction	8	0	0	0	0	0	0	0	0	0	0	0	0
work---education	0	0	0	0	0	0	0	0	1	0	0	0	0
work---home	0	1	0	0	0	0	0	1	0	0	0	0	2
work---leisure	0	0	0	0	2	0	0	0	0	1	1	0	3
work---motorcycle interaction	19	2	0	0	0	0	1	0	0	0	0	0	1
work---pt interaction	25	6	0	0	0	0	0	0	0	0	0	0	0
work---shop	2	1	0	0	0	1	0	0	0	0	0	0	1

average leg duration: 710.9056074766355 seconds = 00:11:50
