pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	24	28	17	15	5	1	0	0	0	0	0	0	0
car interaction---education	13	0	0	0	0	0	0	0	0	0	0	0	2
car interaction---home	23	0	0	0	0	0	3	0	0	0	0	0	1
car interaction---leisure	12	0	0	0	0	0	2	0	0	0	0	0	2
car interaction---shop	13	0	0	0	0	0	2	0	0	0	0	0	2
car interaction---work	12	0	0	0	0	0	1	0	0	0	0	0	2
education---car interaction	14	0	0	0	0	0	0	0	0	0	0	0	2
education---home	1	0	0	0	0	1	1	0	0	1	0	0	1
education---leisure	0	0	0	1	0	0	0	0	0	0	1	0	0
education---pt interaction	16	2	2	0	0	0	0	0	0	0	0	0	0
education---shop	0	0	0	0	0	0	1	0	1	0	0	0	1
education---work	2	0	0	0	0	0	0	0	0	0	0	0	3
home---car interaction	28	0	0	0	0	0	3	0	0	0	0	0	3
home---education	0	0	0	1	0	1	0	0	0	0	0	0	1
home---leisure	3	0	0	0	1	0	1	0	1	0	0	0	1
home---pt interaction	37	6	1	0	0	0	0	0	0	0	0	0	0
home---shop	1	0	0	0	1	1	1	0	0	0	1	0	5
home---work	0	0	0	0	0	1	0	0	0	0	0	0	1
leisure---car interaction	13	0	0	0	0	0	2	0	0	0	0	0	3
leisure---education	0	0	0	0	0	1	0	0	0	0	0	0	1
leisure---home	0	0	0	1	1	0	0	0	1	0	0	0	0
leisure---pt interaction	20	4	3	0	0	0	0	0	0	0	0	0	0
leisure---shop	1	0	0	0	1	0	0	0	0	0	0	0	0
leisure---work	0	0	0	1	0	1	0	0	0	0	1	0	0
pt interaction---education	20	3	2	0	0	0	0	0	0	0	0	0	0
pt interaction---home	36	10	1	0	0	0	0	0	0	0	0	0	0
pt interaction---leisure	18	3	2	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	34	53	95	22	12	10	6	4	1	0	1	0	0
pt interaction---shop	22	2	3	0	0	0	0	0	0	0	0	0	0
pt interaction---work	26	5	1	0	0	0	0	0	0	0	0	0	0
shop---car interaction	12	0	0	0	0	0	2	0	0	0	0	0	1
shop---education	1	0	0	0	0	0	0	0	0	0	0	1	2
shop---home	1	1	0	1	0	1	0	0	0	0	0	0	1
shop---leisure	1	0	0	2	0	0	0	2	0	0	0	0	1
shop---pt interaction	24	4	4	0	0	0	0	0	0	0	0	0	0
shop---work	0	0	0	0	0	0	0	0	0	0	0	1	1
work---car interaction	11	0	0	0	0	0	1	0	0	0	0	0	2
work---education	0	0	0	0	0	0	0	0	0	0	0	1	1
work---home	0	0	0	1	0	2	1	0	0	0	0	0	2
work---leisure	0	0	0	0	0	0	0	0	0	0	0	0	1
work---pt interaction	26	5	0	0	0	0	0	0	0	0	0	0	0
work---shop	2	1	0	1	0	0	0	0	0	0	0	0	1

average leg duration: 752.8790233074362 seconds = 00:12:32
