pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	2	2	2	1	0	0	0	0	0	0	0	0	0
car interaction---home	0	0	0	0	0	0	0	0	0	0	0	0	3
car interaction---work	4	0	0	0	0	0	0	0	0	0	0	0	0
home---car interaction	0	0	0	0	0	0	0	0	0	0	0	0	4
home---pt interaction	7	0	0	0	0	0	0	0	0	0	0	0	0
home---work	0	0	0	0	0	0	0	0	0	0	0	0	9
pt interaction---home	7	0	0	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	8	2	4	7	0	1	2	0	1	1	0	0	0
pt interaction---work	7	0	0	0	0	0	0	0	0	0	0	0	0
work---car interaction	4	0	0	0	0	0	0	0	0	0	0	0	0
work---home	0	0	0	0	0	0	0	0	0	0	0	0	9
work---pt interaction	7	0	0	0	0	0	0	0	0	0	0	0	0

average leg duration: 2457.255319148936 seconds = 00:40:57
