service_id,date,exception_type
THSR_0108_1_20240902,20241101,1
THSR_0108_1_20240903,20241102,1
THSR_0108_1_20240904,20241103,1
THSR_0108_1_20240905,20241104,1
THSR_0108_1_20240906,20241105,1
THSR_0108_1_20240907,20241106,1
THSR_0108_1_20240908,20241107,1
THSR_0108_1_20240909,20241108,1
THSR_0108_1_20240910,20241109,1
THSR_0108_1_20240911,20241110,1
THSR_0108_1_20240912,20241111,1
THSR_0108_1_20240913,20241112,1
THSR_0108_1_20240914,20241113,1
THSR_0108_1_20240915,20241114,1
THSR_0108_1_20240916,20241115,1
THSR_0108_1_20240917,20241116,1
THSR_0108_1_20240918,20241117,1
THSR_0108_1_20240919,20241118,1
THSR_0108_1_20240920,20241119,1
THSR_0108_1_20240921,20241120,1
THSR_0108_1_20240922,20241121,1
THSR_0108_1_20240923,20241122,1
THSR_0108_1_20240924,20241123,1
THSR_0108_1_20240925,20241124,1
THSR_0108_1_20240926,20241125,1
THSR_0108_1_20240927,20241126,1
THSR_0108_1_20240928,20241127,1
THSR_0108_1_20240929,20241128,1
THSR_0108_1_20240930,20241129,1
THSR_0109_0_20240902,20241101,1
THSR_0109_0_20240903,20241102,1
THSR_0109_0_20240904,20241103,1
THSR_0109_0_20240905,20241104,1
THSR_0109_0_20240906,20241105,1
THSR_0109_0_20240907,20241106,1
THSR_0109_0_20240908,20241107,1
THSR_0109_0_20240909,20241108,1
THSR_0109_0_20240910,20241109,1
THSR_0109_0_20240911,20241110,1
THSR_0109_0_20240912,20241111,1
THSR_0109_0_20240913,20241112,1
THSR_0109_0_20240914,20241113,1
THSR_0109_0_20240915,20241114,1
THSR_0109_0_20240916,20241115,1
THSR_0109_0_20240917,20241116,1
THSR_0109_0_20240918,20241117,1
THSR_0109_0_20240919,20241118,1
THSR_0109_0_20240920,20241119,1
THSR_0109_0_20240921,20241120,1
THSR_0109_0_20240922,20241121,1
THSR_0109_0_20240923,20241122,1
THSR_0109_0_20240924,20241123,1
THSR_0109_0_20240925,20241124,1
THSR_0109_0_20240926,20241125,1
THSR_0109_0_20240927,20241126,1
THSR_0109_0_20240928,20241127,1
THSR_0109_0_20240929,20241128,1
THSR_0109_0_20240930,20241129,1
THSR_0112_1_20240902,20241101,1
THSR_0112_1_20240903,20241102,1
THSR_0112_1_20240904,20241103,1
THSR_0112_1_20240905,20241104,1
THSR_0112_1_20240906,20241105,1
THSR_0112_1_20240907,20241106,1
THSR_0112_1_20240908,20241107,1
THSR_0112_1_20240909,20241108,1
THSR_0112_1_20240910,20241109,1
THSR_0112_1_20240911,20241110,1
THSR_0112_1_20240912,20241111,1
