stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station
TRA_3480,斗南,23.67257,120.48089,TRA_3480,0,
TRA_3490,石龜,23.63951,120.47106,TRA_3490,0,
TRA_4050,大林,23.60089,120.45597,TRA_4050,0,
TRA_4060,民雄,23.55526,120.43179,TRA_4060,0,
TRA_4070,嘉北,23.49981,120.44846,TRA_4070,0,
TRA_4080,嘉義,23.47927,120.44061,TRA_4080,0,
TRA_4090,水上,23.43398,120.39971,TRA_4090,0,
TRA_4100,南靖,23.41344,120.38654,TRA_4100,0,
TRA_4110,後壁,23.36626,120.36058,TRA_4110,0,
TRA_4120,新營,23.30673,120.32307,TRA_4120,0,
TRA_4130,柳營,23.27762,120.32252,TRA_4130,0,
TRA_4140,林鳳營,23.24259,120.32107,TRA_4140,0,
TRA_4150,隆田,23.19271,120.31917,TRA_4150,0,
TRA_4160,拔林,23.17284,120.32125,TRA_4160,0,
TRA_4170,善化,23.13333,120.30653,TRA_4170,0,
TRA_4180,南科,23.10719,120.30196,TRA_4180,0,
TRA_4190,新市,23.06823,120.29004,TRA_4190,0,
TRA_4200,永康,23.03825,120.25347,TRA_4200,0,
TRA_4210,大橋,23.01923,120.22429,TRA_4210,0,
TRA_4220,臺南,22.99681,120.21295,TRA_4220,0,
TRA_4250,保安,22.93296,120.23158,TRA_4250,0,
TRA_4260,仁德,22.92354,120.24054,TRA_4260,0,
TRA_4270,中洲,22.90446,120.25284,TRA_4270,0,
TRA_4271,長榮大學,22.90729,120.27263,TRA_4271,0,
TRA_4272,沙崙,22.92407,120.28622,TRA_4272,0,
TRA_4290,大湖,22.87821,120.25384,TRA_4290,0,
TRA_4300,路竹,22.85404,120.26619,TRA_4300,0,
TRA_4310,岡山,22.79236,120.30004,TRA_4310,0,
TRA_4320,橋頭,22.76098,120.31011,TRA_4320,0,
TRA_4330,楠梓,22.72696,120.32425,TRA_4330,0,
TRA_4340,新左營,22.68754,120.30678,TRA_4340,0,
TRA_4350,左營,22.67445,120.29401,TRA_4350,0,
TRA_4360,內惟,22.66589,120.287,TRA_4360,0,
TRA_4370,美術館,22.65195,120.28155,TRA_4370,0,
TRA_4380,鼓山,22.6418,120.28071,TRA_4380,0,
TRA_4390,三塊厝,22.63931,120.29414,TRA_4390,0,
TRA_4400,高雄,22.63965,120.30264,TRA_4400,0,
TRA_4410,民族,22.63879,120.31494,TRA_4410,0,
TRA_4420,科工館,22.63709,120.32603,TRA_4420,0,
TRA_4430,正義,22.63425,120.34245,TRA_4430,0,
TRA_4440,鳳山,22.6315,120.35712,TRA_4440,0,
TRA_4450,後庄,22.64016,120.39131,TRA_4450,0,
TRA_4460,九曲堂,22.65642,120.42101,TRA_4460,0,
TRA_4470,六塊厝,22.66597,120.46497,TRA_4470,0,
TRA_5000,屏東,22.66895,120.48608,TRA_5000,0,
TRA_5010,歸來,22.65218,120.50283,TRA_5010,0,
TRA_5020,麟洛,22.63481,120.51432,TRA_5020,0,
TRA_5030,西勢,22.61634,120.5265,TRA_5030,0,
TRA_5040,竹田,22.58648,120.54009,TRA_5040,0,
TRA_5050,潮州,22.55013,120.53613,TRA_5050,0,
TRA_5060,崁頂,22.51311,120.51481,TRA_5060,0,
TRA_5070,南州,22.49207,120.51174,TRA_5070,0,
TRA_5080,鎮安,22.45794,120.51151,TRA_5080,0,
TRA_5090,林邊,22.4313,120.51529,TRA_5090,0,
TRA_5100,佳冬,22.41409,120.54774,TRA_5100,0,
TRA_5110,東海,22.39897,120.57236,TRA_5110,0,
TRA_5120,枋寮,22.36802,120.5951,TRA_5120,0,
TRA_5130,加祿,22.33085,120.62445,TRA_5130,0,
TRA_5140,內獅,22.30615,120.64322,TRA_5140,0,
TRA_5160,枋山,22.26677,120.65968,TRA_5160,0,
TRA_5170,枋野,22.28091,120.71709,TRA_5170,0,
TRA_5190,大武,22.36523,120.90081,TRA_5190,0,
TRA_5200,瀧溪,22.46102,120.94176,TRA_5200,0,
TRA_5210,金崙,22.53161,120.96721,TRA_5210,0,
TRA_5220,太麻里,22.61904,121.005,TRA_5220,0,
TRA_5230,知本,22.71022,121.06068,TRA_5230,0,
TRA_5240,康樂,22.76459,121.09358,TRA_5240,0,
TRA_5998,南方小站,22.52755,120.53658,TRA_5998,0,
TRA_5999,潮州基地,22.52231,120.52642,TRA_5999,0,
TRA_6000,臺東,22.79376,121.12311,TRA_6000,0,
TRA_6010,山里,22.86194,121.13778,TRA_6010,0,
TRA_6020,鹿野,22.91249,121.137,TRA_6020,0,
TRA_6030,瑞源,22.956,121.15896,TRA_6030,0,
TRA_6040,瑞和,22.98111,121.15584,TRA_6040,0,
TRA_6050,關山,23.04564,121.16441,TRA_6050,0,
TRA_6060,海端,23.10292,121.17676,TRA_6060,0,
TRA_6070,池上,23.12605,121.21956,TRA_6070,0,
TRA_6080,富里,23.17924,121.24864,TRA_6080,0,
TRA_6090,東竹,23.22605,121.27842,TRA_6090,0,
TRA_6100,東里,23.27234,121.30418,TRA_6100,0,
TRA_6110,玉里,23.33155,121.31172,TRA_6110,0,
TRA_6120,三民,23.42458,121.34539,TRA_6120,0,
TRA_6130,瑞穗,23.49775,121.37657,TRA_6130,0,
TRA_6140,富源,23.58031,121.38008,TRA_6140,0,
TRA_6150,大富,23.60571,121.38963,TRA_6150,0,
TRA_6160,光復,23.66631,121.42117,TRA_6160,0,
TRA_6170,萬榮,23.71199,121.41907,TRA_6170,0,
TRA_6180,鳳林,23.74636,121.44711,TRA_6180,0,
TRA_6190,南平,23.78231,121.45824,TRA_6190,0,
TRA_6200,林榮新光,23.80225,121.46205,TRA_6200,0,
TRA_6210,豐田,23.84842,121.49618,TRA_6210,0,
TRA_6220,壽豐,23.86901,121.51064,TRA_6220,0,
TRA_6230,平和,23.88279,121.52045,TRA_6230,0,
TRA_6240,志學,23.90769,121.5295,TRA_6240,0,
TRA_6250,吉安,23.96823,121.58266,TRA_6250,0,
TRA_7000,花蓮,23.99325,121.6008,TRA_7000,0,
TRA_7010,北埔,24.03253,121.60166,TRA_7010,0,
TRA_7020,景美,24.09048,121.61125,TRA_7020,0,
TRA_7030,新城,24.12756,121.64086,TRA_7030,0,
TRA_7040,崇德,24.17199,121.65536,TRA_7040,0,
TRA_7050,和仁,24.24219,121.71192,TRA_7050,0,
TRA_7060,和平,24.29848,121.75336,TRA_7060,0,
TRA_7070,漢本,24.33543,121.76835,TRA_7070,0,
TRA_7080,武塔,24.44879,121.77601,TRA_7080,0,
TRA_7090,南澳,24.46342,121.80103,TRA_7090,0,
TRA_7100,東澳,24.51827,121.83072,TRA_7100,0,
TRA_7110,永樂,24.56843,121.84458,TRA_7110,0,
TRA_7120,蘇澳,24.59516,121.85143,TRA_7120,0,
TRA_7130,蘇澳新,24.60852,121.82735,TRA_7130,0,
TRA_7140,新馬,24.61564,121.8229,TRA_7140,0,
TRA_7150,冬山,24.63633,121.79211,TRA_7150,0,
TRA_7160,羅東,24.67791,121.77464,TRA_7160,0,
TRA_7170,中里,24.69415,121.77526,TRA_7170,0,
TRA_7180,二結,24.70528,121.77409,TRA_7180,0,
TRA_7190,宜蘭,24.75443,121.75839,TRA_7190,0,
TRA_7200,四城,24.78681,121.76271,TRA_7200,0,
TRA_7210,礁溪,24.82703,121.77535,TRA_7210,0,
TRA_7220,頂埔,24.8439,121.80913,TRA_7220,0,
TRA_7230,頭城,24.88375,121.80913,TRA_7230,0,
TRA_7240,外澳,24.88375,121.84572,TRA_7240,0,
TRA_7250,龜山,24.90486,121.86891,TRA_7250,0,
TRA_7260,大溪,24.93836,121.88983,TRA_7260,0,
TRA_7270,大里,24.96677,121.92253,TRA_7270,0,
TRA_7280,石城,24.97832,121.94507,TRA_7280,0,
TRA_7290,福隆,25.01595,121.94471,TRA_7290,0,
TRA_7300,貢寮,25.02197,121.90879,TRA_7300,0,
TRA_7310,雙溪,25.03851,121.86654,TRA_7310,0,
TRA_7320,牡丹,25.05871,121.85197,TRA_7320,0,
TRA_7330,三貂嶺,25.06556,121.82263,TRA_7330,0,
