pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	28	27	6	8	2	2	0	0	0	0	0	0	0
car interaction---education	10	0	0	0	0	0	0	0	0	0	0	0	1
car interaction---home	20	0	0	0	0	0	0	0	0	0	0	0	4
car interaction---leisure	12	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---shop	10	0	0	0	0	0	0	0	0	0	0	0	1
car interaction---work	14	0	0	0	0	0	0	0	0	0	0	0	1
education---car interaction	11	0	0	0	0	0	0	0	0	0	0	0	1
education---home	1	0	0	1	0	0	1	1	0	0	0	0	0
education---leisure	0	0	0	1	0	0	0	0	0	0	0	0	0
education---motorcycle interaction	10	0	0	0	0	0	0	0	0	0	0	0	0
education---pt interaction	16	2	3	0	0	0	0	0	0	0	0	0	0
education---shop	0	0	0	0	0	0	1	0	0	0	0	0	1
education---work	1	0	0	0	0	0	0	0	0	0	1	0	0
home---car interaction	19	0	0	0	0	0	0	0	0	0	0	0	4
home---education	2	0	0	0	0	0	0	0	1	0	0	0	0
home---leisure	3	0	0	0	0	0	0	0	1	0	1	1	1
home---motorcycle interaction	22	0	1	0	0	2	2	0	0	0	0	0	2
home---pt interaction	43	5	1	0	0	0	0	0	0	0	0	0	0
home---shop	1	0	1	0	0	1	0	0	0	0	0	1	2
home---work	0	0	0	0	0	0	0	1	0	0	0	0	2
leisure---car interaction	13	0	0	0	0	0	0	0	0	0	0	0	1
leisure---education	0	0	0	0	0	0	1	0	0	0	0	0	1
leisure---home	0	0	0	3	0	0	0	0	1	0	0	0	1
leisure---motorcycle interaction	17	0	0	1	0	0	2	0	0	0	0	0	1
leisure---pt interaction	22	6	2	0	0	0	0	0	0	0	0	0	0
leisure---shop	3	0	0	0	0	0	0	0	0	0	0	0	0
leisure---work	0	0	0	1	0	0	0	0	0	0	0	0	1
motorcycle interaction---education	11	0	0	0	0	0	0	0	0	0	0	0	0
motorcycle interaction---home	19	0	1	0	0	2	2	0	0	0	0	0	2
motorcycle interaction---leisure	17	0	0	1	0	0	2	0	0	0	0	0	1
motorcycle interaction---motorcycle interaction	32	34	16	11	2	0	0	0	0	0	0	0	0
motorcycle interaction---shop	12	0	0	0	0	0	1	0	0	0	0	0	2
motorcycle interaction---work	18	2	0	0	0	0	1	0	0	0	0	0	1
pt interaction---education	18	2	1	0	0	0	0	0	0	0	0	0	0
pt interaction---home	42	5	1	0	0	0	0	0	0	0	0	0	0
pt interaction---leisure	24	5	2	1	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	32	56	104	19	19	12	7	6	3	1	0	0	0
pt interaction---shop	20	4	1	0	0	0	0	0	0	0	0	0	0
pt interaction---work	23	9	1	0	0	0	0	0	0	0	0	0	0
shop---car interaction	12	0	0	0	0	0	0	0	0	0	0	0	0
shop---education	1	0	0	1	0	0	0	0	0	0	0	0	1
shop---home	0	0	0	1	0	0	0	0	0	0	0	0	2
shop---leisure	1	0	0	0	0	0	0	0	0	0	1	0	0
shop---motorcycle interaction	13	0	0	0	0	0	1	0	0	0	0	0	2
shop---pt interaction	20	6	2	0	0	0	0	0	0	0	0	0	0
shop---work	0	0	0	0	0	0	0	0	0	0	0	1	0
work---car interaction	15	0	0	0	0	0	0	0	0	0	0	0	1
work---education	0	0	0	0	0	0	0	0	0	0	0	1	0
work---home	0	0	0	0	0	1	0	1	0	0	0	0	1
work---leisure	0	0	0	0	1	0	0	0	0	0	0	0	1
work---motorcycle interaction	18	2	0	0	0	0	1	0	0	0	0	0	1
work---pt interaction	22	9	0	0	0	0	0	0	0	0	0	0	0
work---shop	2	1	0	0	0	0	0	0	0	0	0	0	0

average leg duration: 596.8228621291448 seconds = 00:09:56
