iteration;car;pt;walk
0;0.0;0.0;1.0
1;0.1;0.15;0.75
2;0.1;0.15;0.75
3;0.15;0.25;0.6
4;0.2;0.3;0.5
5;0.1;0.35;0.55
6;0.2;0.35;0.45
7;0.15;0.55;0.3
8;0.15;0.55;0.3
9;0.15;0.55;0.3
10;0.1;0.5;0.4
