ITERATION;avg. Average Leg distance;avg. Average Trip distance
0;12580.80500116859;12580.80500116859
1;8218.811753211561;12530.940838906452
2;8245.199615661639;12571.911467447359
3;7109.667393907849;13056.537960297112
4;6481.552275295064;12963.054683548073
5;6061.9126552913085;12123.825310582617
6;5322.779831315013;12828.733275029703
7;4415.028232339499;12666.684006017036
8;4453.845424235461;12311.245232425192
9;4667.999665167908;13070.399062470142
10;4985.821920364599;12963.136992947955
