iteration;avg_executed;avg_worst;avg_average;avg_best
0;50.71482395109963;50.71482395109963;50.71482395109963;50.71482395109963
1;41.05230571134537;26.851439633445487;45.88356483122251;64.91569002899952
2;41.05321071000769;26.851439633445487;46.54793283608929;66.06766474647897
3;46.37238786209777;0.30758096519606964;41.126845226459956;74.06731624916429
4;52.71743549388499;-21.757409992266403;37.240774435341464;80.51825019825691
5;80.51825019825691;-21.757409992266403;38.15273239556486;80.51825019825691
6;61.16527130843677;-41.11041464462532;37.119017821924366;87.02927159966967
7;71.40293913872742;-41.11041464462532;36.54035315537299;96.42427311938961
8;72.68998803607064;-64.01545882324584;34.19206056530458;100.95512028360413
9;93.92435036220154;-40.90936298432967;43.76789911551639;102.49763129624557
10;88.95476325118275;-40.90936298432967;46.828353282359934;102.49763129624557
