stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_x_EPSG3826,stop_y_EPSG3826,stop_code,stop_desc,stop_url,stop_timezone,wheelchair_boarding,platform_code
BL21_DN,昆陽-下行月臺(板南線),25.0504585,121.5932285,,0,096,309856.694,2771497.667,BL21,板南線,,Asia/Taipei,1,二
097,南港,25.052035,121.60697,,1,,311242.46,2771678.44,BL22,板南線,,Asia/Taipei,1,
BL22_DN,南港-下行月臺(板南線),25.052035,121.60697,,0,097,311242.46,2771678.44,BL22,板南線,,Asia/Taipei,1,二
031,南港展覽館,25.054919,121.616861,,1,,312239.017,2772002.405,BR24BL23,文湖線/板南線,,Asia/Taipei,1,
BL23_DN,南港展覽館-下行月臺(板南線),25.054919,121.616861,,0,031,312239.017,2772002.405,BL23,板南線,,Asia/Taipei,1,二
033,新店,24.95761,121.53746,,1,,304270.325,2761189.791,G01,松山新店線,,Asia/Taipei,1,
G01_UP,新店-上行月臺(松山新店線),24.95761,121.53746,,0,033,304270.325,2761189.791,G01,松山新店線,,Asia/Taipei,1,一
034,新店區公所,24.96744,121.5413,,1,,304653.737,2762280.146,G02,松山新店線,,Asia/Taipei,1,
G02_UP,新店區公所-上行月臺(松山新店線),24.96744,121.5413,,0,034,304653.737,2762280.146,G02,松山新店線,,Asia/Taipei,1,一
035,七張,24.97545,121.542985,,1,,304820.321,2763168.05,G03,松山新店線,,Asia/Taipei,1,
G03_UP,七張-上行月臺(松山新店線),24.97545,121.542985,,0,035,304820.321,2763168.05,G03,松山新店線,,Asia/Taipei,1,一
036,大坪林,24.9827205,121.54134,,1,,304651.023,2763972.701,G04Y07,松山新店線/環狀線,,Asia/Taipei,1,
G04_UP,大坪林-上行月臺(松山新店線),24.9827205,121.54134,,0,036,304651.023,2763972.701,G04,松山新店線,,Asia/Taipei,1,一
037,景美,24.992824,121.5406975,,1,,304581.697,2765091.555,G05,松山新店線,,Asia/Taipei,1,
G05_UP,景美-上行月臺(松山新店線),24.992824,121.5406975,,0,037,304581.697,2765091.555,G05,松山新店線,,Asia/Taipei,1,一
038,萬隆,25.001978,121.539008,,1,,304407.113,2766104.818,G06,松山新店線,,Asia/Taipei,1,
G06_UP,萬隆-上行月臺(松山新店線),25.001978,121.539008,,0,038,304407.113,2766104.818,G06,松山新店線,,Asia/Taipei,1,一
039,公館,25.014781,121.534358,,1,,303932.145,2767521.084,G07,松山新店線,,Asia/Taipei,1,
G07_UP,公館-上行月臺(松山新店線),25.014781,121.534358,,0,039,303932.145,2767521.084,G07,松山新店線,,Asia/Taipei,1,一
040,台電大樓,25.020733,121.5281435,,1,,303302.341,2768177.899,G08,松山新店線,,Asia/Taipei,1,
G08_UP,台電大樓-上行月臺(松山新店線),25.020733,121.5281435,,0,040,303302.341,2768177.899,G08,松山新店線,,Asia/Taipei,1,一
041,古亭,25.026373,121.522868,,1,,302767.496,2768800.549,G09O05,松山新店線/中和新蘆線,,Asia/Taipei,1,
G09_UP,古亭-上行月臺(松山新店線),25.026373,121.522868,,0,041,302767.496,2768800.549,G09,松山新店線,,Asia/Taipei,1,一
O05_UP,古亭-上行月臺(中和新蘆線),25.026373,121.522868,,0,041,302767.496,2768800.549,O05,中和新蘆線,,Asia/Taipei,1,二
O05_DN,古亭-下行月臺(中和新蘆線),25.026373,121.522868,,0,041,302767.496,2768800.549,O05,中和新蘆線,,Asia/Taipei,1,四
042,中正紀念堂,25.032767,121.518273,,1,,302301.052,2769506.999,G10R08,松山新店線/淡水信義線,,Asia/Taipei,1,
G10_UP,中正紀念堂-上行月臺(松山新店線),25.032767,121.518273,,0,042,302301.052,2769506.999,G10,松山新店線,,Asia/Taipei,1,二
R08_DN,中正紀念堂-下行月臺(淡水信義線),25.032767,121.518273,,0,042,302301.052,2769506.999,R08,淡水信義線,,Asia/Taipei,1,三
043,小南門,25.035585,121.51088,,1,,301553.804,2769816.3,G11,松山新店線,,Asia/Taipei,1,
G11_UP,小南門-上行月臺(松山新店線),25.035585,121.51088,,0,043,301553.804,2769816.3,G11,松山新店線,,Asia/Taipei,1,一
105,北門,25.049554,121.510184,,1,,301477.736,2771363.316,G13,松山新店線,,Asia/Taipei,1,
G13_UP,北門-上行月臺(松山新店線),25.049554,121.510184,,0,105,301477.736,2771363.316,G13,松山新店線,,Asia/Taipei,1,一
053,中山,25.052621,121.520364,,1,,302503.613,2771706.945,R11G14,松山新店線/淡水信義線,,Asia/Taipei,1,
G14_UP,中山-上行月臺(松山新店線),25.052621,121.520364,,0,053,302503.613,2771706.945,G14,松山新店線,,Asia/Taipei,1,三
R11_DN,中山-下行月臺(淡水信義線),25.052621,121.520364,,0,053,302503.613,2771706.945,R11,淡水信義線,,Asia/Taipei,1,二
132,松江南京,25.052693,121.53285,,1,,303763.415,2771719.823,G15O08,松山新店線/中和新蘆線,,Asia/Taipei,1,
G15_UP,松江南京-上行月臺(松山新店線),25.052693,121.53285,,0,132,303763.415,2771719.823,G15,松山新店線,,Asia/Taipei,1,一
O08_UP,松江南京-上行月臺(中和新蘆線),25.052693,121.53285,,0,132,303763.415,2771719.823,O08,中和新蘆線,,Asia/Taipei,1,一
O08_DN,松江南京-下行月臺(中和新蘆線),25.052693,121.53285,,0,132,303763.415,2771719.823,O08,中和新蘆線,,Asia/Taipei,1,二
009,南京復興,25.052044,121.544303,,1,,304919.31,2771652.536,BR11G16,文湖線/松山新店線,,Asia/Taipei,1,
G16_UP,南京復興-上行月臺(松山新店線),25.052044,121.544303,,0,009,304919.31,2771652.536,G16,松山新店線,,Asia/Taipei,1,一
109,台北小巨蛋,25.05152,121.552549,,1,,305751.572,2771597.867,G17,松山新店線,,Asia/Taipei,1,
G17_UP,台北小巨蛋-上行月臺(松山新店線),25.05152,121.552549,,0,109,305751.572,2771597.867,G17,松山新店線,,Asia/Taipei,1,一
110,南京三民,25.051588,121.56471,,1,,306978.597,2771610.465,G18,松山新店線,,Asia/Taipei,1,
G18_UP,南京三民-上行月臺(松山新店線),25.051588,121.56471,,0,110,306978.597,2771610.465,G18,松山新店線,,Asia/Taipei,1,一
111,松山,25.050118,121.577706,,1,,308290.602,2771453.175,G19,松山新店線,,Asia/Taipei,1,
G19_UP,松山-上行月臺(松山新店線),25.050118,121.577706,,0,111,308290.602,2771453.175,G19,松山新店線,,Asia/Taipei,1,一
048,南勢角,24.990065,121.509237,,1,,301406.951,2764773.66,O01,中和新蘆線,,Asia/Taipei,1,
O01_UP,南勢角-上行月臺(中和新蘆線),24.990065,121.509237,,0,048,301406.951,2764773.66,O01,中和新蘆線,,Asia/Taipei,1,一
O01_DN,南勢角-下行月臺(中和新蘆線),24.990065,121.509237,,0,048,301406.951,2764773.66,O01,中和新蘆線,,Asia/Taipei,1,二
047,景安,24.99392,121.505114,,1,,300989.141,2765199.101,Y11O02,環狀線/中和新蘆線,,Asia/Taipei,1,
O02_UP,景安-上行月臺(中和新蘆線),24.99392,121.505114,,0,047,300989.141,2765199.101,O02,中和新蘆線,,Asia/Taipei,1,一
O02_DN,景安-下行月臺(中和新蘆線),24.99392,121.505114,,0,047,300989.141,2765199.101,O02,中和新蘆線,,Asia/Taipei,1,二
046,永安市場,25.002895,121.511225,,1,,301602.283,2766195.525,O03,中和新蘆線,,Asia/Taipei,1,
O03_UP,永安市場-上行月臺(中和新蘆線),25.002895,121.511225,,0,046,301602.283,2766195.525,O03,中和新蘆線,,Asia/Taipei,1,一
O03_DN,永安市場-下行月臺(中和新蘆線),25.002895,121.511225,,0,046,301602.283,2766195.525,O03,中和新蘆線,,Asia/Taipei,1,二
045,頂溪,25.013858,121.515462,,1,,302025.348,2767411.46,O04,中和新蘆線,,Asia/Taipei,1,
O04_UP,頂溪-上行月臺(中和新蘆線),25.013858,121.515462,,0,045,302025.348,2767411.46,O04,中和新蘆線,,Asia/Taipei,1,一
O04_DN,頂溪-下行月臺(中和新蘆線),25.013858,121.515462,,0,045,302025.348,2767411.46,O04,中和新蘆線,,Asia/Taipei,1,二
134,東門,25.033894,121.528766,,1,,303359.476,2769635.926,R07O06,淡水信義線/中和新蘆線,,Asia/Taipei,1,
O06_UP,東門-上行月臺(中和新蘆線),25.033894,121.528766,,0,134,303359.476,2769635.926,O06,中和新蘆線,,Asia/Taipei,1,一
O06_DN,東門-下行月臺(中和新蘆線),25.033894,121.528766,,0,134,303359.476,2769635.926,O06,中和新蘆線,,Asia/Taipei,1,三
R07_DN,東門-下行月臺(淡水信義線),25.033894,121.528766,,0,134,303359.476,2769635.926,R07,淡水信義線,,Asia/Taipei,1,四
131,行天宮,25.05924,121.53315,,1,,303790.827,2772445.126,O09,中和新蘆線,,Asia/Taipei,1,
O09_UP,行天宮-上行月臺(中和新蘆線),25.05924,121.53315,,0,131,303790.827,2772445.126,O09,中和新蘆線,,Asia/Taipei,1,一
O09_DN,行天宮-下行月臺(中和新蘆線),25.05924,121.53315,,0,131,303790.827,2772445.126,O09,中和新蘆線,,Asia/Taipei,1,二
130,中山國小,25.062665,121.526609,,1,,303129.401,2772821.913,O10,中和新蘆線,,Asia/Taipei,1,
O10_UP,中山國小-上行月臺(中和新蘆線),25.062665,121.526609,,0,130,303129.401,2772821.913,O10,中和新蘆線,,Asia/Taipei,1,一
O10_DN,中山國小-下行月臺(中和新蘆線),25.062665,121.526609,,0,130,303129.401,2772821.913,O10,中和新蘆線,,Asia/Taipei,1,二
055,民權西路,25.06235,121.519585,,1,,302420.873,2772784.281,R13O11,淡水信義線/中和新蘆線,,Asia/Taipei,1,
O11_UP,民權西路-上行月臺(中和新蘆線),25.06235,121.519585,,0,055,302420.873,2772784.281,O11,中和新蘆線,,Asia/Taipei,1,三
O11_DN,民權西路-下行月臺(中和新蘆線),25.06235,121.519585,,0,055,302420.873,2772784.281,O11,中和新蘆線,,Asia/Taipei,1,四
R13_DN,民權西路-下行月臺(淡水信義線),25.06235,121.519585,,0,055,302420.873,2772784.281,R13,淡水信義線,,Asia/Taipei,1,二
128,大橋頭,25.06322,121.5130035,,1,,301756.489,2772878.113,O12,中和新蘆線,,Asia/Taipei,1,
O12_UP,大橋頭-上行月臺(中和新蘆線),25.06322,121.5130035,,0,128,301756.489,2772878.113,O12,中和新蘆線,,Asia/Taipei,1,一
O12_DN,大橋頭-下行月臺(中和新蘆線),25.06322,121.5130035,,0,128,301756.489,2772878.113,O12,中和新蘆線,,Asia/Taipei,1,二
127,台北橋,25.063075,121.500575,,1,,300502.627,2772857.353,O13,中和新蘆線,,Asia/Taipei,1,
O13_UP,台北橋-上行月臺(中和新蘆線),25.063075,121.500575,,0,127,300502.627,2772857.353,O13,中和新蘆線,,Asia/Taipei,1,一
O13_DN,台北橋-下行月臺(中和新蘆線),25.063075,121.500575,,0,127,300502.627,2772857.353,O13,中和新蘆線,,Asia/Taipei,1,二
126,菜寮,25.059451,121.491421,,1,,299580.531,2772452.553,O14,中和新蘆線,,Asia/Taipei,1,
O14_UP,菜寮-上行月臺(中和新蘆線),25.059451,121.491421,,0,126,299580.531,2772452.553,O14,中和新蘆線,,Asia/Taipei,1,一
O14_DN,菜寮-下行月臺(中和新蘆線),25.059451,121.491421,,0,126,299580.531,2772452.553,O14,中和新蘆線,,Asia/Taipei,1,二
125,三重,25.05571,121.48422,,1,,298855.478,2772035.56,O15,中和新蘆線,,Asia/Taipei,1,
O15_UP,三重-上行月臺(中和新蘆線),25.05571,121.48422,,0,125,298855.478,2772035.56,O15,中和新蘆線,,Asia/Taipei,1,一
O15_DN,三重-下行月臺(中和新蘆線),25.05571,121.48422,,0,125,298855.478,2772035.56,O15,中和新蘆線,,Asia/Taipei,1,二
124,先嗇宮,25.04632,121.47165,,1,,297590.832,2770990.996,O16,中和新蘆線,,Asia/Taipei,1,
O16_UP,先嗇宮-上行月臺(中和新蘆線),25.04632,121.47165,,0,124,297590.832,2770990.996,O16,中和新蘆線,,Asia/Taipei,1,一
O16_DN,先嗇宮-下行月臺(中和新蘆線),25.04632,121.47165,,0,124,297590.832,2770990.996,O16,中和新蘆線,,Asia/Taipei,1,二
123,頭前庄,25.039735,121.461655,,1,,296584.781,2770258.132,Y18O17,環狀線/中和新蘆線,,Asia/Taipei,1,
O17_UP,頭前庄-上行月臺(中和新蘆線),25.039735,121.461655,,0,123,296584.781,2770258.132,O17,中和新蘆線,,Asia/Taipei,1,一
O17_DN,頭前庄-下行月臺(中和新蘆線),25.039735,121.461655,,0,123,296584.781,2770258.132,O17,中和新蘆線,,Asia/Taipei,1,二
122,新莊,25.03608,121.45218,,1,,295630.015,2769850.061,O18,中和新蘆線,,Asia/Taipei,1,
O18_UP,新莊-上行月臺(中和新蘆線),25.03608,121.45218,,0,122,295630.015,2769850.061,O18,中和新蘆線,,Asia/Taipei,1,一
O18_DN,新莊-下行月臺(中和新蘆線),25.03608,121.45218,,0,122,295630.015,2769850.061,O18,中和新蘆線,,Asia/Taipei,1,二
121,輔大,25.03279,121.435735,,1,,293971.683,2769480.204,O19,中和新蘆線,,Asia/Taipei,1,
O19_UP,輔大-上行月臺(中和新蘆線),25.03279,121.435735,,0,121,293971.683,2769480.204,O19,中和新蘆線,,Asia/Taipei,1,一
O19_DN,輔大-下行月臺(中和新蘆線),25.03279,121.435735,,0,121,293971.683,2769480.204,O19,中和新蘆線,,Asia/Taipei,1,二
180,丹鳳,25.029073,121.422422,,1,,292629.485,2769064.236,O20,中和新蘆線,,Asia/Taipei,1,
O20_UP,丹鳳-上行月臺(中和新蘆線),25.029073,121.422422,,0,180,292629.485,2769064.236,O20,中和新蘆線,,Asia/Taipei,1,一
O20_DN,丹鳳-下行月臺(中和新蘆線),25.029073,121.422422,,0,180,292629.485,2769064.236,O20,中和新蘆線,,Asia/Taipei,1,二
179,迴龍,25.022107,121.411757,,1,,291555.541,2768289.339,O21,中和新蘆線,,Asia/Taipei,1,
O21_UP,迴龍-上行月臺(中和新蘆線),25.022107,121.411757,,0,179,291555.541,2768289.339,O21,中和新蘆線,,Asia/Taipei,1,一
O21_DN,迴龍-下行月臺(中和新蘆線),25.022107,121.411757,,0,179,291555.541,2768289.339,O21,中和新蘆線,,Asia/Taipei,1,二
099,象山,25.032395,121.570116,,1,,307533.022,2769486.821,R02,淡水信義線,,Asia/Taipei,1,
R02_DN,象山-下行月臺(淡水信義線),25.032395,121.570116,,0,099,307533.022,2769486.821,R02,淡水信義線,,Asia/Taipei,1,二
100,台北101/世貿,25.032865,121.563667,,1,,306881.993,2769536.156,R03,淡水信義線,,Asia/Taipei,1,
R03_DN,台北101/世貿-下行月臺(淡水信義線),25.032865,121.563667,,0,100,306881.993,2769536.156,R03,淡水信義線,,Asia/Taipei,1,二
101,信義安和,25.033015,121.552326,,1,,305737.435,2769548.055,R04,淡水信義線,,Asia/Taipei,1,
R04_DN,信義安和-下行月臺(淡水信義線),25.033015,121.552326,,0,101,305737.435,2769548.055,R04,淡水信義線,,Asia/Taipei,1,二
011,大安,25.033311,121.54237,,1,,304732.584,2769576.78,BR09R05,文湖線/淡水信義線,,Asia/Taipei,1,
R05_DN,大安-下行月臺(淡水信義線),25.033311,121.54237,,0,011,304732.584,2769576.78,R05,淡水信義線,,Asia/Taipei,1,二
103,大安森林公園,25.033225,121.536151,,1,,304105.027,2769564.755,R06,淡水信義線,,Asia/Taipei,1,
R06_DN,大安森林公園-下行月臺(淡水信義線),25.033225,121.536151,,0,103,304105.027,2769564.755,R06,淡水信義線,,Asia/Taipei,1,二
050,台大醫院,25.041399,121.51602,,1,,302070.045,2770462.257,R09,淡水信義線,,Asia/Taipei,1,
