pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	34	34	10	10	2	1	0	0	0	0	0	0	0
car interaction---education	15	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---home	28	0	0	0	0	0	2	0	0	0	0	0	0
car interaction---leisure	11	0	0	0	0	0	2	0	0	0	0	0	2
car interaction---shop	11	0	0	0	0	0	2	0	0	0	0	0	2
car interaction---work	14	0	0	0	0	0	1	0	0	0	0	0	1
education---car interaction	15	0	0	0	0	0	0	0	0	0	0	0	0
education---home	2	0	0	0	0	0	1	1	0	0	0	0	1
education---leisure	0	0	0	1	0	0	0	0	0	0	0	0	0
education---pt interaction	19	2	3	0	0	0	0	0	0	0	0	0	0
education---shop	0	0	0	0	0	0	1	0	0	0	0	0	1
education---work	2	0	0	0	0	0	0	0	0	0	0	0	0
home---car interaction	36	0	0	0	0	0	2	0	0	0	0	0	2
home---education	0	0	0	0	0	0	0	0	0	0	0	0	1
home---leisure	2	0	0	0	1	0	0	0	1	0	0	0	2
home---motorcycle interaction	10	0	2	0	0	2	2	0	0	0	0	0	4
home---pt interaction	40	5	0	0	0	0	0	0	0	0	0	0	0
home---shop	1	0	0	0	1	0	0	0	0	0	0	1	3
home---work	0	0	1	0	0	0	0	0	0	0	0	0	1
leisure---car interaction	11	0	0	0	0	0	2	0	0	0	0	0	2
leisure---education	0	0	0	0	0	0	0	0	0	0	0	0	1
leisure---home	0	0	0	1	1	0	0	0	1	0	0	0	0
leisure---motorcycle interaction	14	0	0	4	0	0	0	0	0	0	0	0	0
leisure---pt interaction	24	3	4	0	0	0	0	0	0	0	0	0	0
leisure---shop	2	0	0	0	1	0	0	0	0	0	0	0	1
motorcycle interaction---home	6	0	2	0	0	2	2	0	0	0	0	0	4
motorcycle interaction---leisure	14	0	0	4	0	0	0	0	0	0	0	0	0
motorcycle interaction---motorcycle interaction	10	24	8	9	1	0	0	0	0	0	0	0	0
motorcycle interaction---work	16	2	0	0	0	0	0	0	0	0	0	0	0
pt interaction---education	23	3	2	0	0	0	0	0	0	0	0	0	0
pt interaction---home	38	8	1	0	0	0	0	0	0	0	0	0	0
pt interaction---leisure	25	4	2	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	39	56	98	18	17	11	8	7	3	2	2	0	0
pt interaction---shop	24	6	3	0	0	0	0	0	0	0	0	0	0
pt interaction---work	29	5	2	0	0	0	0	0	0	0	0	0	0
shop---car interaction	11	0	0	0	0	0	2	0	0	0	0	0	2
shop---education	1	0	0	1	0	0	0	0	0	0	0	0	1
shop---home	0	0	0	1	0	0	0	0	0	1	0	0	2
shop---leisure	0	0	0	0	0	0	0	1	0	0	0	0	0
shop---pt interaction	26	9	5	0	0	0	0	0	0	0	0	0	0
shop---work	0	0	0	0	0	1	0	0	0	0	0	0	0
work---car interaction	14	0	0	0	0	0	1	0	0	0	0	0	1
work---education	0	0	0	0	0	0	0	0	0	0	0	1	0
work---home	0	0	0	0	0	0	0	0	0	0	0	0	1
work---motorcycle interaction	16	2	0	0	0	0	0	0	0	0	0	0	0
work---pt interaction	30	5	0	0	0	0	0	0	0	0	0	0	0
work---shop	2	1	0	0	0	0	0	1	0	0	0	0	0

average leg duration: 598.9555353901997 seconds = 00:09:58
