pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	20	27	8	9	3	1	0	0	0	0	0	0	0
car interaction---education	12	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---home	18	0	0	0	0	0	1	0	0	0	0	0	2
car interaction---leisure	11	0	0	0	0	0	1	0	0	0	0	0	0
car interaction---shop	11	0	0	0	0	0	2	0	0	0	0	0	1
car interaction---work	7	0	0	0	0	0	1	0	0	0	0	0	1
education---car interaction	13	0	0	0	0	0	0	0	0	0	0	0	0
education---home	2	0	0	1	0	0	1	0	0	0	0	0	1
education---leisure	0	0	0	1	0	0	0	0	0	0	0	0	1
education---motorcycle interaction	5	0	0	0	0	0	1	0	0	0	0	0	0
education---pt interaction	15	2	1	0	0	0	0	0	0	0	0	0	0
education---shop	0	0	0	0	0	0	1	0	1	0	0	0	1
education---work	2	0	0	0	0	0	0	0	1	0	0	0	1
home---car interaction	19	0	0	0	0	0	1	0	0	0	0	0	2
home---education	2	1	0	1	0	0	0	0	0	0	0	0	3
home---leisure	3	0	0	0	0	0	1	0	1	0	0	0	2
home---motorcycle interaction	14	0	2	0	0	1	1	0	0	0	0	0	2
home---pt interaction	45	6	1	0	0	0	0	1	0	0	0	0	0
home---shop	0	0	0	0	1	1	0	0	0	0	0	0	2
home---work	0	0	0	0	0	1	0	2	0	0	1	0	3
leisure---car interaction	12	0	0	0	0	0	1	0	0	0	0	0	0
leisure---education	0	0	0	0	0	0	0	0	0	0	0	0	1
leisure---home	0	0	0	3	0	0	0	0	1	0	0	0	1
leisure---motorcycle interaction	14	0	0	2	0	0	0	0	0	0	0	0	2
leisure---pt interaction	22	6	3	0	0	0	0	0	0	0	0	0	0
leisure---shop	3	0	0	0	1	0	1	0	0	1	0	0	1
leisure---work	0	0	0	1	0	0	0	0	0	0	1	0	0
motorcycle interaction---education	5	0	0	0	0	0	0	0	0	0	0	0	0
motorcycle interaction---home	12	0	2	0	0	1	2	0	0	0	0	0	2
motorcycle interaction---leisure	13	0	0	2	0	0	0	0	0	0	0	0	2
motorcycle interaction---motorcycle interaction	23	22	12	6	0	0	0	0	0	0	0	0	0
motorcycle interaction---shop	6	0	0	0	0	0	0	0	0	0	0	0	1
motorcycle interaction---work	13	1	0	0	0	0	0	0	0	0	0	0	1
pt interaction---education	21	2	1	0	0	0	0	0	0	0	0	0	0
pt interaction---home	38	7	2	0	0	0	0	1	0	0	0	0	0
pt interaction---leisure	22	7	1	1	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	44	56	99	17	18	11	8	6	4	1	2	0	0
pt interaction---shop	19	7	2	0	0	0	0	0	0	0	0	0	0
pt interaction---work	29	8	1	1	0	0	0	0	0	0	0	0	0
shop---car interaction	11	0	0	0	0	0	2	0	0	0	0	0	1
shop---education	1	0	0	0	0	0	0	0	0	0	0	0	0
shop---home	0	0	0	1	0	1	0	0	0	0	0	0	4
shop---leisure	1	0	0	2	0	0	0	1	0	0	0	0	0
shop---motorcycle interaction	7	0	0	0	0	0	0	0	0	0	0	0	1
shop---pt interaction	19	9	4	0	0	0	0	0	0	0	0	0	0
shop---work	0	0	0	0	0	1	0	0	0	0	0	1	0
work---car interaction	7	0	0	0	0	0	1	0	0	0	0	0	1
work---education	0	0	0	0	0	0	0	0	0	0	0	1	0
work---home	0	1	0	0	0	2	0	1	1	1	1	0	1
work---leisure	0	0	0	0	1	0	0	0	0	0	0	0	3
work---motorcycle interaction	14	1	0	0	0	0	0	0	0	0	0	0	1
work---pt interaction	29	7	0	0	0	0	0	0	0	0	0	0	0
work---shop	2	1	0	1	0	0	0	0	0	0	0	0	0

average leg duration: 694.8799266727773 seconds = 00:11:34
