pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	32	32	16	14	3	1	0	0	0	0	0	0	0
car interaction---education	14	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---home	25	0	0	0	0	0	4	0	0	0	0	0	3
car interaction---leisure	14	0	0	2	0	0	2	0	0	0	0	0	2
car interaction---shop	9	0	0	0	0	0	2	0	0	0	0	0	2
car interaction---work	17	0	0	0	0	0	1	0	0	0	0	0	1
education---car interaction	14	0	0	0	0	0	0	0	0	0	0	0	0
education---home	2	0	0	0	0	1	1	1	0	0	0	0	1
education---motorcycle interaction	3	0	0	0	0	0	0	0	0	0	0	0	0
education---pt interaction	20	2	3	0	0	0	0	0	0	0	0	0	0
education---shop	0	0	0	0	0	0	1	0	1	0	0	0	0
education---work	0	0	0	0	0	0	0	0	0	0	1	0	0
home---car interaction	30	0	0	0	0	0	4	0	0	0	0	0	4
home---education	0	0	0	1	0	0	0	0	0	0	0	0	0
home---leisure	2	0	0	0	1	0	0	1	0	0	1	0	2
home---motorcycle interaction	14	0	2	0	0	0	1	0	0	0	0	0	4
home---pt interaction	35	7	0	0	0	0	0	2	0	0	0	0	0
home---shop	0	0	0	0	1	0	0	0	0	0	1	1	3
home---work	0	0	1	0	0	0	0	1	0	0	0	0	1
leisure---car interaction	13	0	0	2	0	0	2	0	0	0	0	0	2
leisure---education	0	0	0	0	0	1	1	0	0	0	0	0	1
leisure---home	1	0	0	2	1	0	0	0	0	0	0	0	0
leisure---motorcycle interaction	12	0	0	2	0	0	0	0	0	0	0	0	1
leisure---pt interaction	23	3	3	0	0	0	0	0	0	0	0	0	0
leisure---shop	2	0	0	0	1	0	0	0	0	0	0	1	1
leisure---work	0	0	0	0	0	0	1	0	0	0	0	0	0
motorcycle interaction---education	3	0	0	0	0	0	1	0	0	0	0	0	0
motorcycle interaction---home	13	0	2	0	0	0	0	0	0	0	0	0	4
motorcycle interaction---leisure	11	0	0	2	0	0	0	0	0	0	0	0	1
motorcycle interaction---motorcycle interaction	17	27	10	8	1	0	0	0	0	0	0	0	0
motorcycle interaction---shop	7	0	0	0	0	0	0	0	0	0	0	0	1
motorcycle interaction---work	18	0	0	0	0	0	0	0	0	0	0	0	0
pt interaction---education	21	3	1	0	0	0	0	0	0	0	0	0	0
pt interaction---home	33	10	1	0	0	0	0	2	0	0	0	0	0
pt interaction---leisure	24	4	3	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	38	54	95	20	13	10	6	7	3	1	2	0	0
pt interaction---shop	20	5	3	0	0	0	0	0	0	0	0	0	0
pt interaction---work	28	8	1	0	0	0	0	0	0	0	0	0	0
shop---car interaction	8	0	0	0	0	0	2	0	0	0	0	0	2
shop---education	1	0	0	1	0	0	0	0	0	0	0	0	1
shop---home	0	0	0	0	0	1	0	0	0	1	0	0	1
shop---leisure	0	0	0	1	0	0	0	2	0	0	0	0	0
shop---motorcycle interaction	7	0	0	0	0	0	0	0	0	0	0	0	1
shop---pt interaction	23	8	5	0	0	0	0	0	0	0	0	0	0
shop---work	0	0	0	0	0	1	1	0	0	0	0	0	0
work---car interaction	17	0	0	0	0	0	1	0	0	0	0	0	1
work---education	0	0	0	0	0	0	0	0	0	0	0	1	0
work---home	0	0	0	0	0	2	0	0	1	0	0	0	1
work---leisure	0	0	0	0	1	0	0	0	0	0	0	0	0
work---motorcycle interaction	18	0	0	0	0	0	0	0	0	0	0	0	0
work---pt interaction	25	8	0	0	0	0	0	0	0	0	0	0	0
work---shop	2	1	0	1	0	0	0	1	0	0	0	0	0

average leg duration: 635.4695498676081 seconds = 00:10:35
