pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	4	21	3	2	0	0	0	0	0	0	0	0	0
car interaction---home	8	0	1	0	1	0	1	0	2	0	0	1	0
car interaction---work	12	1	0	0	1	0	1	0	0	0	0	1	0
home---car interaction	11	0	1	0	1	0	1	0	2	0	0	1	0
home---pt interaction	4	0	0	0	0	0	0	0	0	0	0	0	0
home---work	0	1	2	3	0	0	0	1	1	0	0	0	21
pt interaction---home	4	0	0	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	4	0	2	5	1	0	0	0	0	0	0	0	0
pt interaction---work	4	0	0	0	0	0	0	0	0	0	0	0	0
work---car interaction	12	1	0	0	1	0	1	0	0	0	0	1	0
work---home	0	1	2	3	0	0	0	1	1	0	0	0	21
work---pt interaction	4	0	0	0	0	0	0	0	0	0	0	0	0

average leg duration: 2206.335195530726 seconds = 00:36:46
